site_id,before_MAPE_raw,before_MAPE_clipped,before_WAPE,before_MAE,before_bias_pct,after_MAPE_raw,after_MAPE_clipped,after_WAPE,after_MAE,after_bias_pct,MAPE_raw_improvement,MAPE_clipped_improvement,WAPE_improvement,n_samples_before,n_samples_after
S038,48.55413195752001,41.67378010053938,31.502131531077442,0.13560856244616798,-8.179631402441217,48.55413195752001,41.67378010053938,31.502131531077442,0.13560856244616798,-8.179631402441217,0.0,0.0,0.0,1223,1223
S039,120.68669905020693,95.13725788299685,47.109959734559965,0.24229999353523995,21.66765177883328,120.68669905020693,95.13725788299685,47.109959734559965,0.24229999353523995,21.66765177883328,0.0,0.0,0.0,1266,1266
S040,48.560084735787676,39.86785840514423,30.746864272778783,0.4466079335824513,-7.986469273172876,48.560084735787676,39.86785840514423,30.746864272778783,0.4466079335824513,-7.986469273172876,0.0,0.0,0.0,1264,1264
S041,57.13559382477305,47.161149821217165,28.703469542708334,0.20354573334112455,-3.9837758034377795,57.13559382477305,47.161149821217165,28.703469542708334,0.20354573334112455,-3.9837758034377795,0.0,0.0,0.0,1257,1257
S042,47.056456582018576,38.76864251705454,27.784950494030447,0.25243332782441136,-8.751824828977645,47.056456582018576,38.76864251705454,27.784950494030447,0.25243332782441136,-8.751824828977645,0.0,0.0,0.0,1241,1241
S046,108.24723792790552,63.50093236314846,66.71923914976216,0.6332034416761593,-55.61755847783094,108.24723792790552,63.50093236314846,66.71923914976216,0.6332034416761593,-55.61755847783094,0.0,0.0,0.0,1304,1304
S047,51.8962767209906,33.64292979668274,24.89554192224651,0.2407317942769295,-2.156759184335143,51.8962767209906,33.64292979668274,24.89554192224651,0.2407317942769295,-2.156759184335143,0.0,0.0,0.0,1230,1230
S048,49.3707371680497,44.14497407014949,31.28003387723915,0.2653123156850683,-1.311099126219523,49.3707371680497,44.14497407014949,31.28003387723915,0.2653123156850683,-1.311099126219523,0.0,0.0,0.0,1129,1129
S049,73.45584225215097,37.6127482267146,28.71491058525925,0.6862886824473556,-5.63688657963782,73.45584225215097,37.6127482267146,28.71491058525925,0.6862886824473556,-5.63688657963782,0.0,0.0,0.0,1238,1238
S050,228.52112580963313,147.79033333059624,88.5754654862834,0.24981356804127972,42.95316939994551,228.52112580963313,147.79033333059624,88.5754654862834,0.24981356804127972,42.95316939994551,0.0,0.0,0.0,1440,1440
S051,93.81376505505996,75.19269380788987,57.57558141743153,0.45529278095275716,21.730578750740666,93.81376505505996,75.19269380788987,57.57558141743153,0.45529278095275716,21.730578750740666,0.0,0.0,0.0,1266,1266
S052,69.7782728260402,39.4505804966806,45.64727010417328,0.6532088966426496,-41.27918447458311,69.7782728260402,39.4505804966806,45.64727010417328,0.6532088966426496,-41.27918447458311,0.0,0.0,0.0,1290,1290
S053,48.898058944225205,48.898058944225205,48.898058944225184,2.708952465510076,-45.58887187194398,48.898058944225205,48.898058944225205,48.898058944225184,2.708952465510076,-45.58887187194398,0.0,0.0,0.0,1662,1662
S054,74.17127304052977,52.64542424622933,37.38271657035986,0.8366803565868264,22.10032149149113,74.17127304052977,52.64542424622933,37.38271657035986,0.8366803565868264,22.10032149149113,0.0,0.0,0.0,1247,1247
S055,158.60620775021502,157.9493705560778,123.39556176611799,0.4801261375678208,45.455874390328994,158.60620775021502,157.9493705560778,123.39556176611799,0.4801261375678208,45.455874390328994,0.0,0.0,0.0,1503,1503
S056,55.0710290111737,41.94743239529102,28.72492868007105,0.18521073352777517,1.235026732036735,55.0710290111737,41.94743239529102,28.72492868007105,0.18521073352777517,1.235026732036735,0.0,0.0,0.0,1148,1148
S059,62.07577060485331,60.092955389950355,59.181938884679234,0.2450421650802974,-34.14705631777208,62.07577060485331,60.092955389950355,59.181938884679234,0.2450421650802974,-34.14705631777208,0.0,0.0,0.0,1677,1677
S060,66.18624100226758,56.189274902453214,43.44577881638455,0.5284722308767429,12.028190765744819,66.18624100226758,56.189274902453214,43.44577881638455,0.5284722308767429,12.028190765744819,0.0,0.0,0.0,1251,1251
S061,51.09375442821407,39.331557199028985,31.849096417818846,0.2640083086380747,-6.266018426934345,51.09375442821407,39.331557199028985,31.849096417818846,0.2640083086380747,-6.266018426934345,0.0,0.0,0.0,1277,1277
S062,56.45705321857716,37.269401043175186,26.08133666682873,0.19159191587403712,6.577425052600589,56.45705321857716,37.269401043175186,26.08133666682873,0.19159191587403712,6.577425052600589,0.0,0.0,0.0,1219,1219
S063,46.13314963983372,42.878751215882104,30.068968338088325,0.3498023316664275,-14.62342597803261,46.13314963983372,42.878751215882104,30.068968338088325,0.3498023316664275,-14.62342597803261,0.0,0.0,0.0,1083,1083
S064,59.37291443621234,51.08375271994898,31.350300177519212,0.2031361344454005,9.39205388835102,59.37291443621234,51.08375271994898,31.350300177519212,0.2031361344454005,9.39205388835102,0.0,0.0,0.0,1135,1135
S065,66.22330652758136,39.21751515579726,26.279038636131546,0.12789690077623006,-0.1299327676062116,66.22330652758136,39.21751515579726,26.279038636131546,0.12789690077623006,-0.1299327676062116,0.0,0.0,0.0,1413,1413
S066,61.01855636074196,50.33500108373025,53.27703904844606,0.65212593042297,-41.598228145062144,61.01855636074196,50.33500108373025,53.27703904844606,0.65212593042297,-41.598228145062144,0.0,0.0,0.0,1281,1281
S068,53.03587299073268,38.49800028906687,30.035871161172857,0.07190294523095403,-0.5841601328526844,53.03587299073268,38.49800028906687,30.035871161172857,0.07190294523095403,-0.5841601328526844,0.0,0.0,0.0,1230,1230
S070,63.32876385263274,45.982629527738275,34.493706965199145,0.11987701576577173,5.835310347918436,63.32876385263274,45.982629527738275,34.493706965199145,0.11987701576577173,5.835310347918436,0.0,0.0,0.0,1212,1212
S071,67.9488447729603,57.917722086602986,58.68671425784826,2.33432981227908,-48.74234664631823,67.9488447729603,57.917722086602986,58.68671425784826,2.33432981227908,-48.74234664631823,0.0,0.0,0.0,1495,1495
S072,57.942493916937906,41.82115853718452,30.405209952046942,0.3153034502234734,-13.42489716048042,57.942493916937906,41.82115853718452,30.405209952046942,0.3153034502234734,-13.42489716048042,0.0,0.0,0.0,1282,1282
S073,58.770026846929554,37.37696871987568,33.21508914354683,1.144193789497641,-20.242878265900924,58.770026846929554,37.37696871987568,33.21508914354683,1.144193789497641,-20.242878265900924,0.0,0.0,0.0,1333,1333
S074,59.447864425381866,43.23843487011022,28.662942036485955,0.26436809247094867,-3.3042499061007633,59.447864425381866,43.23843487011022,28.662942036485955,0.26436809247094867,-3.3042499061007633,0.0,0.0,0.0,1281,1281
S075,68.08300101155322,46.86664857740666,34.370765609229295,0.18503062975628892,4.547146718906215,68.08300101155322,46.86664857740666,34.370765609229295,0.18503062975628892,4.547146718906215,0.0,0.0,0.0,1281,1281
S115,100.0,91.86346396965867,100.0,2.3053097345132745,-100.0,100.0,91.86346396965867,100.0,2.3053097345132745,-100.0,0.0,0.0,0.0,1130,1130
S116,100.0,86.47539866430421,100.0,6.248545727136431,-100.0,100.0,86.47539866430421,100.0,6.248545727136431,-100.0,0.0,0.0,0.0,1334,1334
