station_id,station_name,capacity_mw,rows,positive_rows,zero_ratio_6_19,actual_sum_mwh_like,pred_sum_mwh_like,pred_actual_ratio,bias_percent,mae_mw,rmse_mw,nrmse_percent,pred_zero_ratio_6_19,actual_max_mw,pred_max_mw,max_power_ratio,has_geo_ratio,geo_confidence,scene_night_ratio_6_19,scene_low_ratio,scene_mid_ratio,scene_clear_peak_ratio,g_blend_non_null_ratio,g_blend_zero_ratio,risk_flags
S060,华电蒙然源光伏电站,5.84,1708,1251,0.2676,1521.71,1605.9438,1.0554,5.5355,0.3584,0.5624,9.6295,0.4251,5.63,4.1444,0.7361,1.0,,0.2324,0.2348,0.4186,0.1142,0.9994,0.0006,daytime_scene_night
S061,嘉伏黎明光伏电站,3.784,1708,1277,0.2523,1058.55,1037.3506,0.98,-2.0027,0.2101,0.3464,9.1542,0.4262,3.43,2.3628,0.6889,1.0,,0.2319,0.2348,0.4215,0.1118,0.9994,0.0006,daytime_scene_night
S062,韩华大浦光伏电站,4.4537,1708,1219,0.2863,895.47,1014.9546,1.1334,13.3432,0.1689,0.2469,5.5442,0.0369,2.44,2.3927,0.9806,1.0,,0.2313,0.2354,0.4204,0.113,0.9994,0.0006,daytime_scene_night
S063,铭信润海光伏电站,3.66,1708,1083,0.3659,1259.89,1411.9898,1.1207,12.0725,0.2571,0.3839,10.4897,0.0357,3.33,2.5807,0.775,1.0,,0.2319,0.2348,0.4215,0.1118,0.9994,0.0006,daytime_scene_night
S064,昱瑞青口光伏发电站,3.288,1708,1135,0.3355,735.43,909.7978,1.2371,23.7096,0.1724,0.2456,7.4688,0.0369,2.21,2.0406,0.9234,1.0,,0.2324,0.2354,0.4198,0.1124,0.9994,0.0006,high_bias|daytime_scene_night
S065,中盛石榴光伏电站,1.9239,1708,1413,0.1727,687.69,797.1133,1.1591,15.9117,0.1324,0.2034,10.5702,0.0357,1.92,1.716,0.8937,1.0,,0.2319,0.2348,0.4215,0.1118,0.9994,0.0006,daytime_scene_night
S066,科来恩润石光伏电站,5.45,1708,1281,0.25,1567.98,1245.8716,0.7946,-20.5429,0.5438,0.7928,14.5461,0.0375,4.43,4.0677,0.9182,1.0,,0.2324,0.7676,0.0,0.0,0.0,1.0,high_bias|irradiance_zero_or_missing|daytime_scene_night
S068,富云下车光伏电站,1.223,1708,1230,0.2799,294.45,343.1014,1.1652,16.5228,0.0678,0.0968,7.9177,0.0369,1.0,0.7735,0.7735,1.0,,0.2307,0.2371,0.4227,0.1095,0.9994,0.0006,daytime_scene_night
S069,沐恒东海科创园光伏电站,3.0,1708,0,1.0,0.0,571.3682,,,0.3345,0.4838,16.1277,0.3197,0.0,1.2394,0.0,1.0,,0.2319,0.2359,0.4215,0.1107,0.9994,0.0006,high_actual_zero_ratio|daytime_scene_night
S070,旭日虎山光伏发电站,2.1,1708,1212,0.2904,421.21,502.8459,1.1938,19.3813,0.104,0.156,7.4279,0.0375,1.35,1.2177,0.902,1.0,,0.2324,0.2324,0.4233,0.1118,0.9994,0.0006,daytime_scene_night
S071,协鑫南岗光伏发电站,20.0,1708,1495,0.1247,5946.53,4078.2085,0.6858,-31.4187,2.1232,2.6794,13.3968,0.0363,8.31,9.2702,1.1155,1.0,,0.2301,0.2436,0.418,0.1083,0.9994,0.0006,high_bias|under_prediction|daytime_scene_night
S072,交控大浦光伏电站,3.125,1708,1282,0.2494,1329.44,1229.2882,0.9247,-7.5334,0.2597,0.3714,11.8833,0.0369,2.99,2.3011,0.7696,1.0,,0.2313,0.2354,0.4204,0.113,0.9994,0.0006,daytime_scene_night
S073,华能裕灌光伏电站,15.0,1708,1333,0.2196,4591.92,3590.249,0.7819,-21.8138,0.9802,1.4658,9.7717,0.0369,13.53,7.4512,0.5507,1.0,,0.2301,0.2447,0.418,0.1071,0.9994,0.0006,high_bias|daytime_scene_night
S074,华能中林二期光伏电站,4.0,1708,1281,0.25,1181.51,1237.5235,1.0474,4.7408,0.2335,0.3521,8.8023,0.0,3.41,2.2788,0.6683,1.0,,0.2307,0.2283,0.4327,0.1083,0.9994,0.0006,daytime_scene_night
S075,旭樱新田光伏电站,2.63,1708,1281,0.25,689.61,693.1877,1.0052,0.5188,0.1358,0.231,8.7841,0.4262,2.16,1.592,0.737,1.0,,0.2319,0.2359,0.4174,0.1148,0.9994,0.0006,daytime_scene_night
S076,太阳光东海光伏电站,5.0,1708,0,1.0,0.0,1376.1197,,,0.8057,1.0682,21.3637,0.0357,0.0,2.6467,0.0,1.0,,0.2324,0.2348,0.4221,0.1107,0.9994,0.0006,high_nrmse|high_actual_zero_ratio|daytime_scene_night
S077,富云图河光伏电站,0.901,1708,0,1.0,0.0,67.1257,,,0.0393,0.0609,6.7634,0.0375,0.0,0.307,0.0,1.0,,0.2295,0.2371,0.4245,0.1089,0.9994,0.0006,high_actual_zero_ratio|daytime_scene_night
S115,鑫众墩尚光伏发电站,7.0,1708,1130,0.3384,2605.0,2711.9747,1.0411,4.1065,0.7371,1.2346,17.6378,0.0369,6.57,5.4454,0.8288,1.0,medium,0.2313,0.2324,0.4256,0.1107,0.9994,0.0006,daytime_scene_night
S116,林洋伊山光伏发电站,22.0,1708,1334,0.219,8335.56,8388.2608,1.0063,0.6322,1.2928,2.0849,9.4768,0.322,19.31,16.7525,0.8676,1.0,low,0.2307,0.24,0.4192,0.1101,0.9994,0.0006,low_confidence_geo|daytime_scene_night
