site_id,split,pred_col,n_matched,max_diff,mean_diff
S058,valid,power_pred_final,868,4.990512958125137e-05,2.362484998574704e-05
S058,test,power_pred_final,1708,4.9907626640699476e-05,1.830029778620065e-05
S059,train,power_pred_cal,12768,4.9982592095210165e-05,1.723590795298658e-05
S059,valid,power_pred_final,868,4.998098353725666e-05,2.474039603904634e-05
S059,test,power_pred_final,1708,4.992089301081304e-05,1.84856399658392e-05
S060,train,power_pred_cal,1008,4.998843005710185e-05,1.9980095218338248e-05
S060,valid,power_pred_final,868,4.996659658207392e-05,2.2175405701323292e-05
S060,test,power_pred_final,1708,4.999787428294766e-05,1.6023624536437132e-05
S061,train,power_pred_cal,943,4.998945379419695e-05,2.018635761298788e-05
S061,valid,power_pred_final,868,4.989925104281756e-05,2.3145400291705506e-05
S061,test,power_pred_final,1708,4.99426164805028e-05,1.8062141052038316e-05
S062,train,power_pred_cal,12768,4.998740904227361e-05,1.7293268236747723e-05
S062,valid,power_pred_final,868,4.996153222203148e-05,2.3894781103668208e-05
S062,test,power_pred_final,1708,4.998680869428007e-05,1.8609585278892314e-05
S063,train,power_pred_cal,862,4.994472982744469e-05,1.9844172821308156e-05
S063,valid,power_pred_final,868,4.998966870894961e-05,2.3748879377824838e-05
S063,test,power_pred_final,1708,4.9932941510205664e-05,1.889608510152867e-05
S064,train,power_pred_cal,12768,4.9999974053527296e-05,1.7032249324389668e-05
S064,valid,power_pred_final,868,4.999604175637273e-05,2.3551347606590114e-05
S064,test,power_pred_final,1708,4.999580297837536e-05,1.8694929142150664e-05
S065,train,power_pred_cal,12768,4.9990872325933466e-05,1.735765241062979e-05
S065,valid,power_pred_final,868,4.999939404404241e-05,2.3997093264649154e-05
S065,test,power_pred_final,1708,4.9982491008959684e-05,1.866561396603186e-05
S066,train,power_pred_cal,4858,4.9976589103772895e-05,1.6905955489855034e-05
S066,valid,power_pred_final,868,4.980571695156755e-05,2.321230778384333e-05
S066,test,power_pred_final,1708,4.993633060013103e-05,1.8883514094202317e-05
S068,train,power_pred_cal,12768,4.999385616416552e-05,1.7340003583589642e-05
S068,valid,power_pred_final,868,4.998243182907647e-05,2.3823621533353544e-05
S068,test,power_pred_final,1708,4.9994724612451025e-05,1.8301726411810088e-05
S069,train,power_pred_cal,862,4.996801811740781e-05,2.2806970465378195e-06
S069,valid,power_pred_final,868,4.998288711188792e-05,2.2307951570476653e-05
S069,test,power_pred_final,1708,4.999879379952166e-05,1.596560712312425e-05
S070,train,power_pred_cal,12768,4.999634207258907e-05,1.7219161518156264e-05
S070,valid,power_pred_final,868,4.9985432515775585e-05,2.3704491450976016e-05
S070,test,power_pred_final,1708,4.997430733152952e-05,1.8569568851107225e-05
S071,train,power_pred_cal,12768,4.9997161141845936e-05,1.70976346448145e-05
S071,valid,power_pred_final,868,4.998990536275727e-05,2.1437895751026106e-05
S071,test,power_pred_final,1708,4.999338624045446e-05,1.7570025586423604e-05
S072,train,power_pred_cal,9002,4.998470543959854e-05,1.6720592126056414e-05
S072,valid,power_pred_final,868,4.998422940816205e-05,2.4267222413132718e-05
S072,test,power_pred_final,1708,4.998249831089652e-05,1.8355805341127844e-05
S073,train,power_pred_cal,7891,4.9998921217930814e-05,1.7182113842700284e-05
S073,valid,power_pred_final,868,4.996030861281753e-05,2.3346932278357204e-05
S073,test,power_pred_final,1708,4.992910306844678e-05,1.8897993944485777e-05
S074,train,power_pred_cal,2511,4.9971164591600115e-05,1.7961828853311628e-05
S074,valid,power_pred_final,868,4.996219379593825e-05,2.342608469807405e-05
S074,test,power_pred_final,1708,4.9989371333936106e-05,1.8567569831473535e-05
S075,train,power_pred_cal,1496,4.998240291859135e-05,1.954893663320718e-05
S075,valid,power_pred_final,868,4.997113465809999e-05,2.4773346402207064e-05
S075,test,power_pred_final,1708,4.996754462094355e-05,1.872142636929308e-05
S076,train,power_pred_cal,864,4.993528572549977e-05,1.924468117381211e-05
S076,valid,power_pred_final,868,4.986263783357536e-05,2.287745192707743e-05
S076,test,power_pred_final,1708,4.9953644870814884e-05,1.5719757548910124e-05
S077,train,power_pred_cal,12768,4.9995107293143715e-05,1.5668574447794542e-05
S077,valid,power_pred_final,868,4.999314075440631e-05,2.361977718154667e-05
S077,test,power_pred_final,1708,4.981260634434603e-05,1.7712340548230334e-05
S115,train,power_pred_cal,12768,4.9995117111567566e-05,1.7265007228525292e-05
S115,valid,power_pred_final,868,4.9992439014712176e-05,2.4406441458578013e-05
S115,test,power_pred_final,1708,4.9927838081248455e-05,1.9109529293194685e-05
S116,train,power_pred_cal,12768,4.9999446037674034e-05,1.718757261483348e-05
S116,valid,power_pred_final,868,4.987380681598097e-05,2.325465742486821e-05
S116,test,power_pred_final,1708,4.9958407553063466e-05,1.8254286162668152e-05
