site_id,hour,ratio_sh,n_sh,ratio_site_shrunk,ratio_hour_shrunk,calibrated_ratio
S039,16,1.1200251326833401,62,1.0670007026298196,1.0596856988837373,1.0795484685203474
S039,17,1.0400762640929253,62,1.0670007026298196,1.0224285078521531,1.0606292706096385
S039,18,0.7284464788105605,62,1.0670007026298196,0.9213453874536068,0.9868848176038881
S039,19,0.18672429812643318,23,1.0670007026298196,0.7,0.9762098627034614
S039,20,,0,1.0670007026298196,1.0166513550170326,
S039,21,,0,1.0670007026298196,1.0166513550170326,
S039,22,,0,1.0670007026298196,1.0166513550170326,
S039,23,,0,1.0670007026298196,1.0166513550170326,
S040,0,,0,1.2875319046845304,1.0166513550170326,
S040,1,,0,1.2875319046845304,1.0166513550170326,
S040,2,,0,1.2875319046845304,1.0166513550170326,
S040,3,,0,1.2875319046845304,1.0166513550170326,
S040,4,,0,1.2875319046845304,1.0166513550170326,
S040,5,,0,1.2875319046845304,1.0166513550170326,
S040,6,1.572156455234497,62,1.2875319046845304,1.3,1.3
S040,7,1.2319351183148772,62,1.2875319046845304,1.0636247309869762,1.2743754132535439
S040,8,1.1170521490381018,62,1.2875319046845304,1.009798995725023,1.2471893670888106
S040,9,1.4030635811348386,62,1.2875319046845304,1.014345644796355,1.3
S040,10,1.337342684413612,62,1.2875319046845304,1.029636269839956,1.299319188437214
S040,11,1.386420226714333,62,1.2875319046845304,1.0124218305045298,1.3
S040,12,1.30779024626829,62,1.2875319046845304,1.0025961503108956,1.292325863379924
S040,13,1.3921795954632514,62,1.2875319046845304,0.9859213079674419,1.3
S040,14,1.4169618096533827,62,1.2875319046845304,1.0122433827571713,1.3
S040,15,1.468141904358138,62,1.2875319046845304,1.0289453482398354,1.3
S040,16,1.3829578394279145,62,1.2875319046845304,1.0596856988837373,1.3
S040,17,1.353065391623463,62,1.2875319046845304,1.0224285078521531,1.3
S040,18,1.2398521254459678,62,1.2875319046845304,0.9213453874536068,1.276248903490672
S040,19,0.49147183466635624,24,1.2875319046845304,0.7,1.2022397543254404
S040,20,,0,1.2875319046845304,1.0166513550170326,
S040,21,,0,1.2875319046845304,1.0166513550170326,
S040,22,,0,1.2875319046845304,1.0166513550170326,
S040,23,,0,1.2875319046845304,1.0166513550170326,
S041,0,,0,1.1021045860571417,1.0166513550170326,
S041,1,,0,1.1021045860571417,1.0166513550170326,
S041,2,,0,1.1021045860571417,1.0166513550170326,
S041,3,,0,1.1021045860571417,1.0166513550170326,
S041,4,,0,1.1021045860571417,1.0166513550170326,
S041,5,,0,1.1021045860571417,1.0166513550170326,
S041,6,0.7181402211692596,62,1.1021045860571417,1.3,1.0112427897859635
S041,7,0.9051617211132518,62,1.1021045860571417,1.0636247309869762,1.0554997859559159
