candidate,w_season,w_noon,w_he,window,city_nrmse,delta,bad_sites,passes
blend_w1=0.75_w2=0.0_w3=1.0,0.75,0.0,1.0,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.0_w3=1.0,0.75,0.0,1.0,window_late,5.3199,0.0679,3,False
blend_w1=0.75_w2=0.25_w3=0.0,0.75,0.25,0.0,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.25_w3=0.0,0.75,0.25,0.0,window_late,5.4309,0.1789,3,False
blend_w1=0.75_w2=0.25_w3=0.25,0.75,0.25,0.25,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.25_w3=0.25,0.75,0.25,0.25,window_late,5.3783,0.1262,3,False
blend_w1=0.75_w2=0.25_w3=0.5,0.75,0.25,0.5,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.25_w3=0.5,0.75,0.25,0.5,window_late,5.3478,0.0958,3,False
blend_w1=0.75_w2=0.25_w3=0.75,0.75,0.25,0.75,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.25_w3=0.75,0.75,0.25,0.75,window_late,5.3283,0.0763,3,False
blend_w1=0.75_w2=0.25_w3=1.0,0.75,0.25,1.0,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.25_w3=1.0,0.75,0.25,1.0,window_late,5.315,0.063,2,False
blend_w1=0.75_w2=0.5_w3=0.0,0.75,0.5,0.0,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.5_w3=0.0,0.75,0.5,0.0,window_late,5.4014,0.1494,3,False
blend_w1=0.75_w2=0.5_w3=0.25,0.75,0.5,0.25,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.5_w3=0.25,0.75,0.5,0.25,window_late,5.3637,0.1117,3,False
blend_w1=0.75_w2=0.5_w3=0.5,0.75,0.5,0.5,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.5_w3=0.5,0.75,0.5,0.5,window_late,5.3399,0.0878,3,False
blend_w1=0.75_w2=0.5_w3=0.75,0.75,0.5,0.75,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.5_w3=0.75,0.75,0.5,0.75,window_late,5.3237,0.0717,3,False
blend_w1=0.75_w2=0.5_w3=1.0,0.75,0.5,1.0,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.5_w3=1.0,0.75,0.5,1.0,window_late,5.3122,0.0602,3,False
blend_w1=0.75_w2=0.75_w3=0.0,0.75,0.75,0.0,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.75_w3=0.0,0.75,0.75,0.0,window_late,5.3838,0.1318,3,False
blend_w1=0.75_w2=0.75_w3=0.25,0.75,0.75,0.25,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.75_w3=0.25,0.75,0.75,0.25,window_late,5.3545,0.1025,3,False
blend_w1=0.75_w2=0.75_w3=0.5,0.75,0.75,0.5,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.75_w3=0.5,0.75,0.75,0.5,window_late,5.3348,0.0828,3,False
blend_w1=0.75_w2=0.75_w3=0.75,0.75,0.75,0.75,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.75_w3=0.75,0.75,0.75,0.75,window_late,5.3209,0.0688,3,False
blend_w1=0.75_w2=0.75_w3=1.0,0.75,0.75,1.0,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=0.75_w3=1.0,0.75,0.75,1.0,window_late,5.3106,0.0585,3,False
blend_w1=0.75_w2=1.0_w3=0.0,0.75,1.0,0.0,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=1.0_w3=0.0,0.75,1.0,0.0,window_late,5.3723,0.1202,3,False
blend_w1=0.75_w2=1.0_w3=0.25,0.75,1.0,0.25,window_early,17.072,0.0,0,True
blend_w1=0.75_w2=1.0_w3=0.25,0.75,1.0,0.25,window_late,5.3483,0.0963,3,False
