site_id,hour,split,rows,pred_actual_ratio,site_nrmse_pct
S012,13,future,20,0.7708977674014936,22.885105197542067
S012,13,test,109,2.950841829598758,28.153909083260686
S012,13,train,58,1.0239796169348834,8.675809384361223
S012,13,valid,61,1.1492068930014863,15.349445552482866
S012,14,future,21,0.7988596098556138,17.467942756362685
S012,14,test,109,2.9994703665824556,23.551593202587537
S012,14,train,57,0.9834224378009846,10.15515220582192
S012,14,valid,61,1.1685665635065037,13.852279013117878
S014,10,future,35,1.6854874583691704,20.795490828427422
S014,10,test,120,1.2979693731874407,12.54413775938175
S014,10,train,62,0.9577119845763078,10.09847471522789
S014,10,valid,61,1.062382360598549,16.27825963616677
S014,11,future,35,1.4151535813878457,19.503814618843215
S014,11,test,120,1.2974508994480287,13.127991366893133
S014,11,train,62,0.9743246973804314,13.008686468216274
S014,11,valid,60,1.0535754669341673,15.95712112020081
S014,12,future,35,1.4140115262595037,19.924405067153877
S014,12,test,120,1.2939544800441674,14.043631268060139
S014,12,train,62,0.9790491486152739,15.17194560446585
S014,12,valid,59,1.0232955812034772,18.016844847528272
S014,13,future,35,1.382067649328844,18.411474832037307
S014,13,test,120,1.364081412619574,14.401585215151899
S014,13,train,62,0.9550151099139087,14.018679986194908
S014,13,valid,59,1.0676399243077022,17.12932174356638
S014,14,future,35,1.359894121515386,17.18805754796756
S014,14,test,119,1.3251381322631193,12.656934769421516
S014,14,train,62,0.8974017356891332,12.371877929253476
S014,14,valid,60,1.0859000247738,17.559677963560798
S016,10,future,88,1.5302712198408652,17.77043970959419
S016,10,test,120,1.283867274492948,13.102352885027543
S016,10,train,60,0.9165582709666129,14.13573739997763
S016,10,valid,60,1.0722141791883375,14.981112507081013
S016,11,future,86,1.1942706712569324,15.861779506582641
S016,11,test,118,1.2114202659650775,12.166040969251856
S016,11,train,62,0.9604786446626077,15.58523625571928
S016,11,valid,61,1.0781592956380344,16.018502807397738
S016,12,future,87,1.0952046220561544,14.710410513159564
S016,12,test,119,1.1774863920718452,11.30955590706957
S016,12,train,62,0.9316444957286476,18.88505850393811
S016,12,valid,61,1.078640211608254,18.073696825047826
S016,13,future,87,1.127984020908749,14.624838326513775
S016,13,test,120,1.2841497454304347,12.139289596005609
S016,13,train,61,0.94682562308896,16.86489805675606
S016,13,valid,60,1.0595607889211849,15.66746468599728
S016,14,future,87,1.1909693329655173,14.162816972743997
S016,14,test,114,1.2178672041870322,12.75764931485962
S016,14,train,62,0.9446805621938701,16.863354978541853
S016,14,valid,60,1.034750973689953,14.647605514519482
S017,10,future,88,1.1429925523684452,4.495665562146275
S017,10,test,121,1.0568490956660883,5.480908086590363
S017,10,train,330,0.5190849292465295,22.261613937480107
S017,10,valid,62,0.5320684654423039,30.494941745023947
S017,11,future,88,0.8765063549853083,5.208892475378412
S017,11,test,121,1.0682732146718519,5.8715258829538985
S017,11,train,333,0.5313790682237098,23.860368082907605
S017,11,valid,62,0.5564502759608412,32.92214361505322
S017,12,future,88,0.757687330764203,6.018357836704688
S017,12,test,122,1.0398004781127046,6.5476821755364165
S017,12,train,335,0.546434095230971,23.82988715285626
S017,12,valid,62,0.5909454333063761,32.27582465625279
S017,13,future,87,0.7728649237458942,5.738779359606534
S017,13,test,120,1.1033870638821692,5.963315435182149
S017,13,train,336,0.5350704681519612,23.89903897085032
S017,13,valid,62,0.5867868685394093,31.429727714451882
S017,14,future,89,0.844606699080455,4.91873817960354
S017,14,test,121,1.0942195043232819,5.555971449407019
S017,14,train,337,0.5299026684084136,22.663461417873155
S017,14,valid,62,0.5942400555138275,27.860030327643454
S018,10,future,83,0.8789794472134066,13.255077964703087
S018,10,test,121,1.1736545265577694,11.457370131701865
S018,10,train,482,0.9655259641198268,11.874427350661257
S018,10,valid,62,1.0548310948942423,16.183318356993926
S018,11,future,83,0.7220169807724575,18.03753973197793
S018,11,test,122,1.0534702610883193,12.556000369651807
S018,11,train,482,0.9378493880974351,13.590036167776978
S018,11,valid,61,1.0877857976184946,21.806627722411008
