candidate,w1,w2,w3,window,city_nrmse,site_nrmse,delta,bad_sites,passes
blend_w1=0.75_w2=1.0_w3=0.5,0.75,1.0,0.5,window_late,5.1767,14.0307,-0.0753,0,True
blend_w1=0.75_w2=1.0_w3=0.75,0.75,1.0,0.75,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=1.0_w3=0.75,0.75,1.0,0.75,window_late,5.1821,14.0445,-0.0699,0,True
blend_w1=0.75_w2=1.0_w3=1.0,0.75,1.0,1.0,window_early,17.072,,0.0,0,True
blend_w1=0.75_w2=1.0_w3=1.0,0.75,1.0,1.0,window_late,5.1869,14.0562,-0.0651,0,True
blend_w1=1.0_w2=0.0_w3=0.0,1.0,0.0,0.0,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.0_w3=0.0,1.0,0.0,0.0,window_late,5.1426,13.9269,-0.1095,0,True
blend_w1=1.0_w2=0.0_w3=0.25,1.0,0.0,0.25,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.0_w3=0.25,1.0,0.0,0.25,window_late,5.1508,13.9587,-0.1012,0,True
blend_w1=1.0_w2=0.0_w3=0.5,1.0,0.0,0.5,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.0_w3=0.5,1.0,0.0,0.5,window_late,5.1601,13.9867,-0.0919,0,True
blend_w1=1.0_w2=0.0_w3=0.75,1.0,0.0,0.75,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.0_w3=0.75,1.0,0.0,0.75,window_late,5.1687,14.0097,-0.0834,0,True
blend_w1=1.0_w2=0.0_w3=1.0,1.0,0.0,1.0,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.0_w3=1.0,1.0,0.0,1.0,window_late,5.1761,14.0285,-0.076,0,True
blend_w1=1.0_w2=0.25_w3=0.0,1.0,0.25,0.0,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.25_w3=0.0,1.0,0.25,0.0,window_late,5.1453,13.9429,-0.1067,0,True
blend_w1=1.0_w2=0.25_w3=0.25,1.0,0.25,0.25,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.25_w3=0.25,1.0,0.25,0.25,window_late,5.1542,13.9714,-0.0979,0,True
blend_w1=1.0_w2=0.25_w3=0.5,1.0,0.25,0.5,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.25_w3=0.5,1.0,0.25,0.5,window_late,5.1627,13.9954,-0.0893,0,True
blend_w1=1.0_w2=0.25_w3=0.75,1.0,0.25,0.75,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.25_w3=0.75,1.0,0.25,0.75,window_late,5.1703,14.0152,-0.0817,0,True
blend_w1=1.0_w2=0.25_w3=1.0,1.0,0.25,1.0,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.25_w3=1.0,1.0,0.25,1.0,window_late,5.1769,14.0318,-0.0751,0,True
blend_w1=1.0_w2=0.5_w3=0.0,1.0,0.5,0.0,window_early,17.072,,0.0,0,True
blend_w1=1.0_w2=0.5_w3=0.0,1.0,0.5,0.0,window_late,5.15,13.9584,-0.102,0,True
blend_w1=1.0_w2=0.5_w3=0.25,1.0,0.5,0.25,window_early,17.072,,0.0,0,True
