site_full_name,site_short_name,dev_type,scheduler_type,capacity_mw,design_capacity_mw,lon,lat,county,install_type_raw,commission_date,station_status,group_name,tracking_type,cell_type,grid_mode,source_name,site_name_norm,install_group,coastal_flag,capacity_bucket,src_priority,site_id,has_geo,geo_source,geo_confidence,geo_note,longitude,latitude
博爱东海光伏发电站,博爱东海光伏,分布式,地调,0.9,0.9,118.77222,34.55306,东海县,屋顶,2017-06-29,运行,连云港博爱新能源科技有限公司1400,固定式,多晶硅,全额上网,dist_ledger,博爱东海光伏,rooftop,0,small,0,S043,1,,,,118.77222,34.55306
国能汇菇源光伏电站,国能汇菇源光伏,分布式,地调,8.492,8.492,119.207928,34.327352,灌云县,屋顶,2025-03-04,运行,无,固定式,单晶硅,自发自用余电上网,dist_ledger,国能汇菇源光伏,rooftop,0,medium,0,S044,1,,,,119.207928,34.327352
华能华兴光伏电站,华能华兴光伏,分布式,地调,2.915,2.915,119.689925,34.497101,灌云县,屋顶,2024-11-27,运行,华能集团,固定式,单晶硅,全额上网,dist_ledger,华能华兴光伏,rooftop,0,small,0,S045,1,,,,119.689925,34.497101
国能新易春光伏电站,国能新易春光伏,分布式,地调,4.25,4.25,119.076854,35.015457,赣榆区,屋顶,2024-12-14,运行,国能,固定式,单晶硅,全额上网,dist_ledger,国能新易春光伏,rooftop,1,small,0,S046,1,,,,119.076854,35.015457
汇九齿轮光伏发电站,汇九齿轮光伏电站,分布式,地调,4.8,4.8,119.23748,34.26355,灌云县,屋顶,2023-05-20,运行,无,固定式,多晶硅,自发自用余电上网,dist_ledger,汇九齿轮,rooftop,0,small,0,S047,1,,,,119.23748,34.26355
卓贵光之明光伏电站,卓贵光之明光伏,分布式,地调,4.0,4.0,119.290512,34.717851,连云区,屋顶,2025-04-29,运行,无,固定式,单晶硅,全额上网,dist_ledger,卓贵光之明光伏,rooftop,1,small,0,S048,1,,,,119.290512,34.717851
华能灌云光伏发电站,华能灌云光伏,分布式,地调,14.1,14.1,119.7,34.41667,灌云县,屋顶,2017-06-27,运行,中国华能集团公司,固定式,单晶硅,全额上网,dist_ledger,华能灌云光伏,rooftop,0,medium,0,S049,1,,,,119.7,34.41667
沐恒东海产业园光伏电站,沐恒东海产业园光伏,分布式,地调,2.55,2.55,118.710548,34.510364,东海县,屋顶,2025-04-30,运行,无,固定式,单晶硅,全额上网,dist_ledger,沐恒东海产业园光伏,rooftop,0,small,0,S050,1,,,,118.710548,34.510364
鲲鹏德宇光伏电站,鲲鹏德宇光伏,分布式,地调,5.025,5.025,119.236371,34.257845,灌云县,屋顶,2025-04-28,运行,无,固定式,单晶硅,全额上网,dist_ledger,鲲鹏德宇光伏,rooftop,0,medium,0,S051,1,,,,119.236371,34.257845
鹰游新立成二期光伏电站,鹰游新立成二期光伏,分布式,地调,6.08,6.08,119.253067,34.258786,灌云县,屋顶,2024-08-20,运行,无,固定式,单晶硅,自发自用余电上网,dist_ledger,鹰游新立成二期光伏,rooftop,0,medium,0,S052,1,,,,119.253067,34.258786
鹰游新立成光伏发电站,鹰游新立成光伏电站,分布式,地调,13.33,13.33,119.25,34.26,灌云县,屋顶,2022-12-31,运行,,固定式,单晶硅,自发自用余电上网,dist_ledger,鹰游新立成,rooftop,0,medium,0,S053,1,,,,119.25,34.26
鸿天伍江光伏电站,鸿天伍江光伏,分布式,地调,11.272,11.272,119.303406,34.719659,连云区,屋顶,2025-01-15,运行,无,固定式,单晶硅,全额上网,dist_ledger,鸿天伍江光伏,rooftop,1,medium,0,S054,1,,,,119.303406,34.719659
沐恒曲阳光伏电站,沐恒曲阳光伏,分布式,地调,4.0,4.0,118.743347,34.457824,东海县,屋顶,2025-04-29,运行,无,固定式,单晶硅,全额上网,dist_ledger,沐恒曲阳光伏,rooftop,0,small,0,S055,1,,,,118.743347,34.457824
昱中科技光伏电站,昱中科技光伏,分布式,地调,3.15,3.15,119.314389,34.718353,连云区,屋顶,2025-04-23,运行,无,固定式,单晶硅,全额上网,dist_ledger,昱中科技光伏,rooftop,1,small,0,S056,1,,,,119.314389,34.718353
欧翔神舟光伏电站,欧翔神舟光伏电站,分布式,地调,2.358,2.358,119.11667,34.8,赣榆区,屋顶,2022-06-07,运行,江苏欧翔新能源有限公司,固定式,单晶硅,自发自用余电上网,dist_ledger,欧翔神舟,rooftop,1,small,0,S057,1,,,,119.11667,34.8
远途大浦光伏电站,远途大浦光伏电站,分布式,地调,5.99,5.99,119.21,34.63306,连云区,屋顶,2018-06-27,运行,北京京运通科技股份有限公司,固定式,多晶硅,自发自用余电上网,dist_ledger,远途大浦,rooftop,1,medium,0,S058,1,,,,119.21,34.63306
首耀清墩光伏电站,首耀清墩光伏,分布式,地调,2.0,2.0,119.20028,34.53028,海州区,屋顶,2017-12-30,运行,连云港市首耀新能源科技有限公司,固定式,多晶硅,全额上网,dist_ledger,首耀清墩光伏,rooftop,0,small,0,S059,1,,,,119.20028,34.53028
华电蒙然源光伏电站,华电蒙然源光伏,分布式,地调,5.84,5.84,119.099136,34.871595,赣榆区,屋顶,2025-04-20,运行,华电,固定式,单晶硅,全额上网,dist_ledger,华电蒙然源光伏,rooftop,1,medium,0,S060,1,,,,119.099136,34.871595
嘉伏黎明光伏电站,嘉伏黎明光伏,分布式,地调,3.784,3.784,119.218229,34.695414,连云区,屋顶,2025-04-18,运行,无,固定式,单晶硅,全额上网,dist_ledger,嘉伏黎明光伏,rooftop,1,small,0,S061,1,,,,119.218229,34.695414
韩华大浦光伏电站,韩华大浦光伏电站,分布式,地调,4.45368,4.45368,119.197,34.68,连云区,屋顶,2015-12-14,运行,韩华新能源,固定式,多晶硅,自发自用余电上网,dist_ledger,韩华大浦,rooftop,1,small,0,S062,1,,,,119.197,34.68
铭信润海光伏电站,铭信润海光伏,分布式,地调,3.66,3.66,118.805147,34.558912,东海县,屋顶,2025-04-29,运行,无,固定式,单晶硅,全额上网,dist_ledger,铭信润海光伏,rooftop,0,small,0,S063,1,,,,118.805147,34.558912
昱瑞青口光伏发电站,昱瑞青口光伏,分布式,地调,3.288,3.288,119.18972,34.88194,赣榆区,屋顶,2018-05-15,运行,连云港昱瑞新能源科技有限公司,固定式,多晶硅,全额上网,dist_ledger,昱瑞青口光伏,rooftop,1,small,0,S064,1,,,,119.18972,34.88194
中盛石榴光伏电站,中盛石榴光伏,分布式,地调,1.9239,1.9239,118.813194,34.564241,东海县,屋顶,2017-12-31,运行,东海中盛红利新能源有限公司,固定式,单晶硅,全额上网,dist_ledger,中盛石榴光伏,rooftop,0,small,0,S065,1,,,,118.813194,34.564241
科来恩润石光伏电站,科来恩润石光伏,分布式,地调,5.45,5.45,119.177146,35.046178,赣榆区,屋顶,2024-07-19,运行,无,固定式,单晶硅,全额上网,dist_ledger,科来恩润石光伏,rooftop,1,medium,0,S066,1,,,,119.177146,35.046178
番禹珠江光伏,番禹珠江光伏,分布式,地调,18.003,18.003,119.52667,34.58028,连云区,屋顶,2022-01-26,运行,连云港金迈新能源有限公司,固定式,单晶硅,自发自用余电上网,dist_ledger,番禹珠江光伏,rooftop,1,medium,0,S067,1,,,,119.52667,34.58028
富云下车光伏电站,富云下车光伏,分布式,地调,1.223,1.223,119.32,34.38028,灌云县,地面,2017-09-01,运行,连云港富云新能源有限公司,水平单轴,多晶硅,全额上网,dist_ledger,富云下车光伏,ground,0,small,0,S068,1,,,,119.32,34.38028
沐恒东海科创园光伏电站,沐恒东海科创园光伏,分布式,地调,3.0,3.0,118.704224,34.502342,东海县,屋顶,2025-04-29,运行,无,固定式,单晶硅,全额上网,dist_ledger,沐恒东海科创园光伏,rooftop,0,small,0,S069,1,,,,118.704224,34.502342
旭日虎山光伏发电站,旭日虎山光伏,分布式,地调,2.1,2.1,119.3,34.71667,连云区,屋顶,2017-06-28,运行,连云港旭日新能源有限公司,固定式,多晶硅,全额上网,dist_ledger,旭日虎山光伏,rooftop,1,small,0,S070,1,,,,119.3,34.71667
协鑫南岗光伏发电站,协鑫南岗光伏,分布式,地调,20.0,20.0,119.15028,34.24028,灌云县,地面,2017-12-05,运行,协鑫新能源,固定式,多晶硅,全额上网,dist_ledger,协鑫南岗光伏,ground,0,large,0,S071,1,,,,119.15028,34.24028
交控大浦光伏电站,交控大浦光伏,分布式,地调,3.125,3.125,119.197492,34.680939,连云区,地面,2023-09-27,运行,无,固定式,单晶硅,全额上网,dist_ledger,交控大浦光伏,ground,1,small,0,S072,1,,,,119.197492,34.680939
华能裕灌光伏电站,华能裕灌光伏,分布式,地调,15.0,15.0,119.330018,34.10237,灌南县,屋顶,2023-12-15,运行,华能集团,固定式,单晶硅,自发自用余电上网,dist_ledger,华能裕灌光伏,rooftop,0,medium,0,S073,1,,,,119.330018,34.10237
华能中林二期光伏电站,华能中林二期光伏,分布式,地调,4.0,4.0,119.751811,34.509689,灌云县,屋顶,2024-12-31,运行,华能集团,固定式,单晶硅,全额上网,dist_ledger,华能中林二期光伏,rooftop,0,small,0,S074,1,,,,119.751811,34.509689
