site_id,hour,month,residual_norm_median,n_train,level,capacity_bucket
S017,11,7.0,0.18927090977167227,29,site_hour_month,
S017,11,8.0,0.2210919442929048,30,site_hour_month,
S017,11,9.0,0.10913714749628828,28,site_hour_month,
S017,11,10.0,0.25177137716204967,19,site_hour_month,
S017,11,11.0,0.21757207915382568,15,site_hour_month,
S017,11,12.0,0.13137070725745878,21,site_hour_month,
S017,12,1.0,0.2211187475740118,30,site_hour_month,
S017,12,2.0,0.21476722995195363,28,site_hour_month,
S017,12,3.0,0.2565489678199349,31,site_hour_month,
S017,12,4.0,0.2850547086298254,27,site_hour_month,
S017,12,5.0,0.3130002660823036,28,site_hour_month,
S017,12,6.0,0.13354077586109395,47,site_hour_month,
S017,12,7.0,0.05542444455960712,30,site_hour_month,
S017,12,8.0,0.20493947919007774,29,site_hour_month,
S017,12,9.0,0.18184541741943086,29,site_hour_month,
S017,12,10.0,0.25961701350373395,20,site_hour_month,
S017,12,11.0,0.24988510294549227,15,site_hour_month,
S017,12,12.0,0.16730005427100259,21,site_hour_month,
S017,13,1.0,0.21192633505937505,30,site_hour_month,
S017,13,2.0,0.21277959816999636,28,site_hour_month,
S017,13,3.0,0.20668534312888864,31,site_hour_month,
S017,13,4.0,0.30205983642177686,27,site_hour_month,
S017,13,5.0,0.27630375600387413,28,site_hour_month,
S017,13,6.0,0.24172301512123445,47,site_hour_month,
S017,13,7.0,0.18522160477280614,30,site_hour_month,
S017,13,8.0,0.23859165825827047,30,site_hour_month,
S017,13,9.0,0.13624864695466915,29,site_hour_month,
S017,13,10.0,0.2504139612641151,20,site_hour_month,
S017,13,11.0,0.23690387426972467,15,site_hour_month,
S017,13,12.0,0.16509133057178535,21,site_hour_month,
S017,14,1.0,0.1712129683481327,30,site_hour_month,
S017,14,2.0,0.15077613786178187,28,site_hour_month,
S017,14,3.0,0.1850623022306546,31,site_hour_month,
S017,14,4.0,0.2752052321800752,27,site_hour_month,
S017,14,5.0,0.28735118440786905,28,site_hour_month,
S017,14,6.0,0.2224355263694053,47,site_hour_month,
S017,14,7.0,0.09081171439400425,31,site_hour_month,
S017,14,8.0,0.2748580419937324,30,site_hour_month,
S017,14,9.0,0.08936591646049465,29,site_hour_month,
S017,14,10.0,0.22082804966476619,20,site_hour_month,
S017,14,11.0,0.20870141795580316,15,site_hour_month,
S017,14,12.0,0.1513184995931752,21,site_hour_month,
S018,10,1.0,0.030594173449447787,31,site_hour_month,
S018,10,2.0,0.06014297143469694,24,site_hour_month,
S018,10,3.0,0.05279934451212874,61,site_hour_month,
S018,10,4.0,0.028851843768676694,60,site_hour_month,
S018,10,5.0,0.026754754094048285,62,site_hour_month,
S018,10,6.0,-0.028879065993757128,60,site_hour_month,
S018,10,7.0,-0.004774081865939021,31,site_hour_month,
S018,10,8.0,-0.025673243747523604,31,site_hour_month,
S018,10,9.0,0.033392675670397956,30,site_hour_month,
S018,10,10.0,0.002366771135411525,31,site_hour_month,
S018,10,11.0,0.0005687791714767574,30,site_hour_month,
S018,10,12.0,0.05864384589519634,31,site_hour_month,
S018,11,1.0,0.038790072035441804,31,site_hour_month,
S018,11,2.0,0.05375000161061516,24,site_hour_month,
S018,11,3.0,0.07230232899955927,61,site_hour_month,
S018,11,4.0,0.0617091278012898,60,site_hour_month,
S018,11,5.0,0.04630098954443328,62,site_hour_month,
S018,11,6.0,0.04295176687129014,60,site_hour_month,
S018,11,7.0,0.018060543868150477,31,site_hour_month,
S018,11,8.0,0.021095554249047046,31,site_hour_month,
S018,11,9.0,0.08525000786556619,30,site_hour_month,
S018,11,10.0,0.0237630547654894,31,site_hour_month,
S018,11,11.0,0.049927478574383156,30,site_hour_month,
S018,11,12.0,0.06367965006817426,31,site_hour_month,
S018,12,1.0,0.033049935567603765,31,site_hour_month,
S018,12,2.0,0.04007666748525614,24,site_hour_month,
S018,12,3.0,0.050802944921870805,61,site_hour_month,
S018,12,4.0,0.043457202853972435,60,site_hour_month,
S018,12,5.0,0.05361263279643905,62,site_hour_month,
S018,12,6.0,0.02356918964229648,60,site_hour_month,
S018,12,7.0,0.0741529926132611,31,site_hour_month,
S018,12,8.0,0.02402545918641071,31,site_hour_month,
S018,12,9.0,-0.02051985979495643,30,site_hour_month,
S018,12,10.0,0.019354885694506288,31,site_hour_month,
S018,12,11.0,0.026486217044960774,30,site_hour_month,
S018,12,12.0,0.04608791428018805,31,site_hour_month,
S018,13,1.0,0.018728901312664428,31,site_hour_month,
S018,13,2.0,0.047327809895758494,24,site_hour_month,
S018,13,3.0,0.0390208262979399,61,site_hour_month,
S018,13,4.0,0.020758284584379137,60,site_hour_month,
S018,13,5.0,0.04212897350716801,62,site_hour_month,
S018,13,6.0,0.006163080196086754,60,site_hour_month,
S018,13,7.0,-0.061752595936664004,31,site_hour_month,
S018,13,8.0,0.058839129093691454,31,site_hour_month,
S018,13,9.0,-0.03289704601771475,30,site_hour_month,
S018,13,10.0,0.01837643568529189,31,site_hour_month,
S018,13,11.0,0.007802353254124188,30,site_hour_month,
S018,13,12.0,0.03934858547026248,31,site_hour_month,
S018,14,1.0,-0.000298861357358438,31,site_hour_month,
S018,14,2.0,0.013611274443102468,24,site_hour_month,
S018,14,3.0,0.024193418714942218,60,site_hour_month,
S018,14,4.0,0.0077147242123602935,60,site_hour_month,
S018,14,5.0,0.01363104203457894,62,site_hour_month,
S018,14,6.0,0.012064118996985552,60,site_hour_month,
S018,14,7.0,0.05691596543378512,31,site_hour_month,
S018,14,8.0,0.07310205309515783,31,site_hour_month,
