site_id,site_name,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,train_valid_rows,train_valid_positive_rows,train_valid_zero_ratio_pct,train_valid_low_output_ratio_pct,train_valid_capacity_factor_mean,train_valid_capacity_factor_p95,test_rows,test_positive_rows,test_zero_ratio_pct,test_low_output_ratio_pct,test_capacity_factor_mean,test_capacity_factor_p95,test_mae_mw,test_rmse_mw,test_nrmse_pct,test_bias_pct,test_pred_actual_ratio,over_predict_ratio_pct,under_predict_ratio_pct,test_actual_sum_mwh,test_pred_sum_mwh,capacity_factor_shift_mean,capacity_factor_shift_p95,diagnosis_group
S052,鹰游新立成二期光伏,6.08,11976,5658,52.7555,5278,4342,17.734,11.2922,0.178845,0.60222,1708,1290,24.4731,9.1335,0.177761,0.554276,0.495032,0.78761,12.954105,-41.408009,0.58592,14.3443,62.7635,1845.98,1081.596442,-0.0010840000000000016,-0.04794399999999999,other
S053,鹰游新立成光伏电站,13.33,26304,13951,46.9624,13636,12289,9.8783,2.9261,0.256579,0.511628,1708,1662,2.6932,0.0,0.404411,0.415604,2.596448,3.162384,23.72381,-41.719631,0.582804,15.9251,81.3817,9207.48,5366.153336,0.14783200000000002,-0.096024,high_sample_bad
S054,鸿天伍江光伏,11.272,8408,3759,55.2926,3196,2512,21.4018,7.6971,0.20327,0.575763,1708,1247,26.9906,9.9532,0.144966,0.469881,0.582184,0.906241,8.039751,22.286955,1.22287,60.0703,16.7447,2790.97,3412.992218,-0.058303999999999995,-0.10588200000000003,other
S055,沐恒曲阳光伏,4.0,5889,2020,65.6988,1727,517,70.0637,0.579,0.080787,0.485,1708,1503,12.0023,0.1756,0.085599,0.2775,0.522703,0.709011,17.725285,97.639261,1.976393,59.719,36.007,584.81,1155.814162,0.004811999999999997,-0.20749999999999996,other
S056,昱中科技光伏,3.15,6033,2779,53.9367,1811,1631,9.9393,4.9144,0.254158,0.565079,1708,1148,32.7869,5.7377,0.137579,0.456032,0.154205,0.24207,7.684774,25.973042,1.25973,62.4122,13.993,740.2,932.452456,-0.11657899999999999,-0.109047,low_sample_good
S058,远途大浦光伏电站,5.99,26304,13515,48.62,13636,12219,10.3916,9.2989,0.197917,0.647746,1708,1296,24.1218,11.6511,0.158016,0.504174,0.36092,0.582016,9.716456,-19.407002,0.80593,31.0304,47.0726,1616.65,1302.9067,-0.03990100000000002,-0.14357200000000003,other
S059,首耀清墩光伏,2.0,26304,12838,51.1937,13636,11131,18.3705,9.7683,0.215204,0.58,1708,1677,1.815,1.2295,0.203267,0.205,0.243474,0.283428,14.171382,-32.006533,0.679935,30.9719,67.7986,694.36,472.119437,-0.011937000000000003,-0.375,other
S060,华电蒙然源光伏,5.84,6144,3029,50.6999,1876,1778,5.2239,7.4094,0.338841,0.810788,1708,1251,26.7564,7.4941,0.152557,0.501113,0.459933,0.681181,11.664051,33.632376,1.336324,58.4895,18.4426,1521.71,2033.497229,-0.186284,-0.3096749999999999,other
S061,嘉伏黎明光伏,3.784,6033,2900,51.931,1811,1623,10.381,8.0618,0.298006,0.766385,1708,1277,25.2342,10.0117,0.163784,0.541755,0.222056,0.353545,9.34316,15.4554,1.154554,51.9906,24.8829,1058.55,1222.15314,-0.13422199999999998,-0.22463,low_sample_good
S062,韩华大浦光伏电站,4.4537,26304,11398,56.6682,13636,10179,25.352,7.0695,0.180737,0.541126,1708,1219,28.63,10.0703,0.117718,0.383166,0.152001,0.275307,6.181569,-9.489812,0.905102,37.8806,38.5246,895.47,810.491582,-0.063019,-0.15796,other
S063,铭信润海光伏,3.66,5892,2524,57.1623,1730,1441,16.7052,1.6185,0.327117,0.797814,1708,1083,36.5925,1.171,0.201541,0.672131,0.245323,0.389966,10.65482,-8.093126,0.919069,37.2951,38.7588,1259.89,1157.925514,-0.125576,-0.125683,other
S064,昱瑞青口光伏,3.288,26304,11817,55.0753,13636,10682,21.6632,3.0874,0.218296,0.623479,1708,1135,33.548,3.103,0.130955,0.425791,0.135832,0.22305,6.783749,13.66191,1.136619,50.4098,26.3466,735.43,835.903787,-0.087341,-0.19768800000000003,other
S065,中盛石榴光伏,1.9239,26304,13147,50.019,13636,11734,13.9484,11.3376,0.29138,0.810853,1708,1413,17.2717,16.2178,0.209277,0.691304,0.109378,0.184939,9.612703,6.769483,1.067695,47.7752,36.8852,687.69,734.243059,-0.08210299999999998,-0.11954900000000002,other
S066,科来恩润石光伏,5.45,12744,5987,53.021,5726,4706,17.8135,6.4443,0.253456,0.678899,1708,1281,25.0,7.4356,0.168444,0.533945,0.316147,0.509048,9.340335,7.922637,1.079226,45.2576,32.1429,1567.98,1692.205367,-0.085012,-0.14495400000000003,other
S068,富云下车光伏,1.223,26304,11910,54.7217,13636,10680,21.6779,6.0868,0.224689,0.645953,1708,1230,27.9859,8.1382,0.14096,0.466067,0.053101,0.089051,7.281387,3.700449,1.037004,50.5855,26.5222,294.45,305.345972,-0.083729,-0.179886,other
S069,沐恒东海科创园光伏,3.0,5892,0,100.0,1730,0,100.0,0.0,0.0,0.0,1708,0,100.0,0.0,0.0,0.0,0.494669,0.692997,23.099912,84489454483605.5,844894544836.0549,75.4684,0.0,0.0,844.894545,0.0,0.0,other
S070,旭日虎山光伏,2.1,26304,12158,53.7789,13636,10946,19.7272,8.4116,0.209755,0.614286,1708,1212,29.0398,9.8361,0.117433,0.393571,0.085467,0.146077,6.956056,11.910379,1.119104,54.5082,22.8923,421.21,471.377707,-0.092322,-0.220715,other
S071,协鑫南岗光伏,20.0,26304,10464,60.219,13636,8969,34.2256,12.1223,0.108107,0.361,1708,1495,12.4707,5.2693,0.174079,0.280625,2.21587,2.791141,13.955706,-38.96598,0.61034,31.089,60.0117,5946.53,3629.406316,0.06597200000000002,-0.08037499999999997,other
S072,交控大浦光伏,3.125,19848,9220,53.547,9870,7938,19.5745,7.4367,0.317612,0.9024,1708,1282,24.9415,9.3091,0.249075,0.7936,0.239051,0.368743,11.799763,-9.691473,0.903085,35.5972,41.9789,1329.44,1200.597677,-0.06853700000000001,-0.10880000000000001,other
S073,华能裕灌光伏,15.0,17941,8538,52.4107,8759,7195,17.8559,10.8574,0.191146,0.595333,1708,1333,21.9555,11.8852,0.179232,0.561767,0.860557,1.366297,9.108647,-17.670706,0.823293,24.9415,54.1569,4591.92,3780.495332,-0.011914000000000008,-0.033565999999999985,other
S074,华能中林二期光伏,4.0,8721,4246,51.3129,3379,2965,12.2521,7.7242,0.329755,0.835,1708,1281,25.0,10.6557,0.172938,0.55,0.207998,0.348481,8.712033,10.878425,1.108784,49.4731,27.5176,1181.51,1310.039674,-0.156817,-0.2849999999999999,other
S075,旭樱新田光伏,2.63,6986,3359,51.9181,2364,2078,12.0981,4.4416,0.313527,0.745247,1708,1281,25.0,13.4075,0.153518,0.510646,0.1585,0.251171,9.550239,22.826619,1.228266,57.377,19.4965,689.61,847.024647,-0.160009,-0.23460099999999995,low_sample_good
S076,太阳光东海光伏,5.0,5894,1317,77.6552,1732,1317,23.9607,0.8083,0.309724,0.8949,1708,0,100.0,0.0,0.0,0.0,0.926196,1.278113,25.562252,158194356630366.25,1581943566303.6626,75.2927,0.0,0.0,1581.943566,-0.309724,-0.8949,other
