site_id,site_name,county,install_group,capacity_bucket,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,tv_rows_6_19,tv_positive_rows_6_19,tv_zero_ratio_pct,tv_cf_mean,tv_cf_p95,test_rows_6_19,test_positive_rows_6_19,test_zero_ratio_6_19_pct,test_actual_sum_mwh,test_pred_sum_mwh,test_cf_mean,test_cf_p95,cf_mean_shift,cf_p95_shift,test_pred_actual_ratio,test_nrmse_pct,site_status,exclude_from_ranking,exclude_reason
S039,沐恒腾东光伏,东海县,rooftop,small,3.45,5889.0,2913.0,50.53489556800815,1727.0,1647.0,4.632310364794441,0.27045643362453115,0.6753623188405797,1708.0,1266.0,25.878220140515225,651.1400000000001,999.4974135729847,0.11050130672368734,0.39608695652173875,-0.1599551269008438,-0.279275362318841,1.5349961814248618,11.99508880899173,测试期分布漂移,是,cf_mean漂移0.160>=0.1或cf_p95漂移0.279>=0.2
S040,华电苏班光伏,赣榆区,rooftop,medium,5.96,6360.0,2985.0,53.06603773584906,2002.0,1721.0,14.035964035964035,0.32750219579078643,0.8104026845637584,1708.0,1264.0,25.995316159250585,1836.0,2008.371163689586,0.1803593040252739,0.5805369127516778,-0.14714289176551254,-0.22986577181208057,1.0938840760836526,9.286722580941007,测试期分布漂移,是,cf_mean漂移0.147>=0.1或cf_p95漂移0.230>=0.2
S041,交控赣榆南光伏,赣榆区,ground,small,2.2,17592.0,8375.0,52.3931332423829,8554.0,7118.0,16.787467851297638,0.3500642974047229,0.8999999999999999,1708.0,1257.0,26.405152224824356,891.3799999999999,1005.8635746438283,0.23722056631892696,0.7818181818181817,-0.11284373108579593,-0.11818181818181817,1.128434084951231,11.699499784702816,测试期分布漂移,是,cf_mean漂移0.113>=0.1或cf_p95漂移0.118>=0.2
S042,国能联合动力光伏,连云区,rooftop,small,3.724,9705.0,4506.0,53.57032457496136,3953.0,3265.0,17.4045029091829,0.2811798025293438,0.776047261009667,1708.0,1241.0,27.341920374707264,1127.48,1176.9469201995719,0.17726022986539616,0.569280343716434,-0.10391957266394766,-0.20676691729323304,1.0438738782058856,8.407070228987719,测试期分布漂移,是,cf_mean漂移0.104>=0.1或cf_p95漂移0.207>=0.2
S043,博爱东海光伏,东海县,rooftop,small,0.9,,,,,,,,,,,,,,,,,,,,正常评价,否,
S044,国能汇菇源光伏,灌云县,rooftop,medium,8.492,7256.0,469.0,93.53638368246968,2528.0,463.0,81.68512658227847,0.06655649844678833,0.575011775788978,1708.0,0.0,100.0,0.0,2465.8616235371346,0.0,0.0,-0.06655649844678833,-0.575011775788978,,23.676241488344804,测试期无有效发电,是,test正功率样本0.0<100或总电量不足
S045,华能华兴光伏,灌云县,rooftop,small,2.915,6969.0,1743.0,74.9892380542402,2357.0,1583.0,32.83835383962664,0.23954630235399682,0.8919382504288165,1708.0,160.0,90.63231850117096,137.88,884.5451004121157,0.02769330885631535,0.26758147512864494,-0.21185299349768147,-0.6243567753001715,6.4153256484777765,22.75583962017988,测试期分布漂移,是,cf_mean漂移0.212>=0.1或cf_p95漂移0.624>=0.2
S046,国能新易春光伏,赣榆区,rooftop,small,4.25,9128.0,4337.0,52.486853637160394,3616.0,3033.0,16.12278761061947,0.27424193128578866,0.7482352941176471,1708.0,1304.0,23.653395784543328,1237.57,1342.520963781808,0.17048767047802726,0.5607058823529405,-0.1037542608077614,-0.1875294117647066,1.0848040626241813,11.370636925327906,测试期分布漂移,是,cf_mean漂移0.104>=0.1或cf_p95漂移0.188>=0.2
S047,汇九齿轮光伏电站,灌云县,rooftop,small,4.8,22968.0,10819.0,52.89533263671194,11690.0,9589.0,17.972626176218988,0.21447836469917309,0.6041666666666666,1708.0,1230.0,27.985948477751755,1189.37,1172.5025080216776,0.14507342896174863,0.45552083333333304,-0.06940493573742446,-0.1486458333333336,0.9858181289436238,6.675038633191588,正常评价,否,
S048,卓贵光之明光伏,连云区,rooftop,small,4.0,5893.0,2362.0,59.918547429153236,1731.0,1233.0,28.769497400346623,0.19595320623916812,0.625,1708.0,1129.0,33.89929742388759,957.6,1151.6884780433418,0.14016393442622951,0.4575,-0.05578927181293861,-0.16749999999999998,1.2026822034704905,7.970263657195302,系统性偏差,是,"pred/actual=1.203超出[0.8,1.2]"
S049,华能灌云光伏,灌云县,rooftop,medium,14.1,26304.0,12321.0,53.159215328467155,13636.0,11083.0,18.722499266647112,0.1890488569056877,0.5540780141843972,1708.0,1238.0,27.5175644028103,2958.83,2910.781211965347,0.12286071387048018,0.39996453900709195,-0.06618814303520752,-0.15411347517730523,0.9837608824992808,6.216209939924515,正常评价,否,
S050,沐恒东海产业园光伏,东海县,rooftop,small,2.55,5889.0,3079.0,47.71608082866361,1727.0,1639.0,5.095541401273886,0.25161619946183456,0.6000000000000001,1708.0,1440.0,15.690866510538642,406.13,750.6079758080268,0.09324746291959406,0.3947058823529407,-0.15836873654224048,-0.2052941176470594,1.8481963307513034,15.593666246245702,测试期分布漂移,是,cf_mean漂移0.158>=0.1或cf_p95漂移0.205>=0.2
