site_id,site_name,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,train_valid_daytime_rows,train_valid_daytime_positive_rows,train_valid_daytime_zero_rows,train_valid_daytime_zero_ratio_pct,train_valid_daytime_low_output_ratio_pct,train_valid_daytime_capacity_factor_mean,test_daytime_rows,test_daytime_positive_rows,test_daytime_zero_rows,test_daytime_zero_ratio_pct,test_daytime_low_output_ratio_pct,test_daytime_capacity_factor_mean,test_mae_mw,test_rmse_mw,test_nrmse_pct,test_bias_pct,test_pred_actual_ratio,over_predict_ratio_pct,under_predict_ratio_pct,test_peak_power_ratio_p95,capacity_factor_shift
S064,S064,3.288,26304,11817,55.0753,13636,10682,2954,21.6632,3.0874,0.218296,1708,1135,573,33.548,3.103,0.130955,0.135832,0.22305,6.783749,13.66191,1.136619,50.4098,26.3466,0.425791,-0.087341
S065,S065,1.9239,26304,13147,50.019,13636,11734,1902,13.9484,11.3376,0.29138,1708,1413,295,17.2717,16.2178,0.209277,0.109378,0.184939,9.612703,6.769483,1.067695,47.7752,36.8852,0.691304,-0.08210299999999998
S066,S066,5.45,12744,5987,53.021,5726,4706,1020,17.8135,6.4443,0.253456,1708,1281,427,25.0,7.4356,0.168444,0.316147,0.509048,9.340335,7.922637,1.079226,45.2576,32.1429,0.533945,-0.085012
S068,S068,1.223,26304,11910,54.7217,13636,10680,2956,21.6779,6.0868,0.224689,1708,1230,478,27.9859,8.1382,0.14096,0.053101,0.089051,7.281387,3.700449,1.037004,50.5855,26.5222,0.466067,-0.083729
S069,S069,3.0,5892,0,100.0,1730,0,1730,100.0,0.0,0.0,1708,0,1708,100.0,0.0,0.0,0.494669,0.692997,23.099912,84489454483605.5,844894544836.0549,75.4684,0.0,0.0,0.0
S070,S070,2.1,26304,12158,53.7789,13636,10946,2690,19.7272,8.4116,0.209755,1708,1212,496,29.0398,9.8361,0.117433,0.085467,0.146077,6.956056,11.910379,1.119104,54.5082,22.8923,0.393571,-0.092322
S071,S071,20.0,26304,10464,60.219,13636,8969,4667,34.2256,12.1223,0.108107,1708,1495,213,12.4707,5.2693,0.174079,2.21587,2.791141,13.955706,-38.96598,0.61034,31.089,60.0117,0.280625,0.06597200000000002
S072,S072,3.125,19848,9220,53.547,9870,7938,1932,19.5745,7.4367,0.317612,1708,1282,426,24.9415,9.3091,0.249075,0.239051,0.368743,11.799763,-9.691473,0.903085,35.5972,41.9789,0.7936,-0.06853700000000001
S073,S073,15.0,17941,8538,52.4107,8759,7195,1564,17.8559,10.8574,0.191146,1708,1333,375,21.9555,11.8852,0.179232,0.860557,1.366297,9.108647,-17.670706,0.823293,24.9415,54.1569,0.561767,-0.011914000000000008
S074,S074,4.0,8721,4246,51.3129,3379,2965,414,12.2521,7.7242,0.329755,1708,1281,427,25.0,10.6557,0.172938,0.207998,0.348481,8.712033,10.878425,1.108784,49.4731,27.5176,0.55,-0.156817
S075,S075,2.63,6986,3359,51.9181,2364,2078,286,12.0981,4.4416,0.313527,1708,1281,427,25.0,13.4075,0.153518,0.1585,0.251171,9.550239,22.826619,1.228266,57.377,19.4965,0.510646,-0.160009
S076,S076,5.0,5894,1317,77.6552,1732,1317,415,23.9607,0.8083,0.309724,1708,0,1708,100.0,0.0,0.0,0.926196,1.278113,25.562252,158194356630366.25,1581943566303.6626,75.2927,0.0,0.0,-0.309724
S077,S077,0.901,26304,5483,79.1553,13636,5483,8153,59.7903,2.0094,0.119114,1708,0,1708,100.0,0.0,0.0,0.027819,0.047374,5.257969,4751485027824.574,47514850278.24574,74.7658,0.0,0.0,-0.119114
S115,S115,7.0,26304,11665,55.6531,13636,10535,3101,22.7413,4.9501,0.291837,1708,1130,578,33.8407,7.0258,0.217882,1.066712,1.526557,21.807954,13.500508,1.135005,42.5644,33.1967,0.750929,-0.07395500000000002
S116,S116,22.0,26304,13038,50.4334,13636,11704,1932,14.1684,10.3036,0.297676,1708,1334,374,21.897,12.5293,0.221832,2.607817,3.734795,16.976339,9.77588,1.097759,40.5738,39.0515,0.717727,-0.075844
