site_id,hour,alpha_site_hour,fit_samples,alpha_hour,hour_fit_samples,weight,alpha_final
S050,13,1.25,122,0.9655546011216521,31191,0.2890995260663507,1.0477876311291365
S050,14,1.25,122,0.9542973565336459,31092,0.2890995260663507,1.039784850616336
S050,15,1.25,121,0.9906880094365584,30796,0.28741092636579574,1.0652171088621556
S050,16,1.25,118,0.9954374906215141,29728,0.2822966507177033,1.0672996344173546
S050,17,1.25,115,0.9824197313369869,21222,0.27710843373493976,1.056568480484569
S050,18,1.25,93,1.1611772722825542,13205,0.2366412213740458,1.1821963910553848
S051,6,1.0,0,1.25,6753,0.0,1.25
S051,7,1.2004620894885731,84,1.0856105902838513,17645,0.21875,1.110734355734884
S051,8,1.0221181546811415,118,1.0147780719045463,28342,0.2822966507177033,1.0168501526883698
S051,9,1.053150632627687,121,1.014783248472599,30421,0.28741092636579574,1.0258104538948452
S051,10,1.104476295179247,124,0.9573977109331647,30960,0.29245283018867924,1.0004112591560754
S051,11,1.0650513471236032,124,0.9684269440800947,31105,0.29245283018867924,0.9966850242154603
S051,12,1.1012461453256597,123,0.9685364578913596,31213,0.2907801418439716,1.0071257996275746
S051,13,1.051189914796912,124,0.9655546011216521,31191,0.29245283018867924,0.9905988909700771
S051,14,1.0919615609461006,123,0.9542973565336459,31092,0.2907801418439716,0.994327373419537
S051,15,1.0201829253963974,122,0.9906880094365584,30796,0.2890995260663507,0.9992149756619148
S051,16,1.065538429145965,120,0.9954374906215141,29728,0.2857142857142857,1.0154663301999287
S051,17,1.25,123,0.9824197313369869,21222,0.2907801418439716,1.0602267598134658
S051,18,1.25,94,1.1611772722825542,13205,0.23857868020304568,1.182368481433417
S051,19,1.0,0,1.25,1550,0.0,1.25
S052,6,1.25,105,1.25,6753,0.25925925925925924,1.25
S052,7,1.0635806253195177,217,1.0856105902838513,17645,0.4197292069632495,1.0763639705599435
S052,8,0.8662785296221197,348,1.0147780719045463,28342,0.5370370370370371,0.9350283177158357
S052,9,0.8968488543467313,363,1.014783248472599,30421,0.5475113122171946,0.9502128335892054
S052,10,0.7861401890760746,364,0.9573977109331647,30960,0.5481927710843374,0.8635155754572901
S052,11,0.8011297654721383,364,0.9684269440800947,31105,0.5481927710843374,0.8767158401444077
S052,12,0.7895431031248126,366,0.9685364578913596,31213,0.5495495495495496,0.8701707404070409
S052,13,0.778341424234385,365,0.9655546011216521,31191,0.5488721804511278,0.8627984965143551
S052,14,0.7812213112524924,364,0.9542973565336459,31092,0.5481927710843374,0.8594183196626521
S052,15,0.8614094381436955,358,0.9906880094365584,30796,0.5440729483282675,0.9203510359975844
S052,16,0.9069498265594492,346,0.9954374906215141,29728,0.5356037151702786,0.9480431690031326
S052,17,0.8764760859853061,232,0.9824197313369869,21222,0.43609022556390975,0.9362187431385096
S052,18,1.024731064216906,126,1.1611772722825542,13205,0.29577464788732394,1.1208199431363766
S052,19,1.0,13,1.25,1550,0.04153354632587859,1.2396166134185305
S053,6,1.25,542,1.25,6753,0.6437054631828979,1.25
S053,7,1.074450197151475,848,1.0856105902838513,17645,0.7386759581881533,1.0773666761930367
S053,8,0.8405649539172219,936,1.0147780719045463,28342,0.7572815533980582,0.882849691292786
S053,9,0.837669244310927,945,1.014783248472599,30421,0.7590361445783133,0.8803473176028962
S053,10,0.7575440602598926,947,0.9573977109331647,30960,0.7594226142742582,0.8056243290666141
S053,11,0.7844490604445169,944,0.9684269440800947,31105,0.7588424437299035,0.828816717269817
S053,12,0.7968564660878821,948,0.9685364578913596,31213,0.7596153846153846,0.838125694886795
S053,13,0.7904434457079599,947,0.9655546011216521,31191,0.7594226142742582,0.8325712296888
S053,14,0.7906597529806925,946,0.9542973565336459,31092,0.7592295345104334,0.8300588549597342
S053,15,0.8686361265787611,943,0.9906880094365584,30796,0.7586484312148029,0.8980935399796776
S053,16,0.868556150375824,934,0.9954374906215141,29728,0.7568881685575365,0.899402505378828
S053,17,0.8941537475230716,753,0.9824197313369869,21222,0.7150997150997151,0.9193007514586601
S053,18,1.212533736389175,739,1.1611772722825542,13205,0.7112608277189605,1.1977051134517485
S053,19,1.25,497,1.25,1550,0.6235884567126725,1.25
S054,6,1.25,107,1.25,6753,0.2628992628992629,1.25
S054,7,1.0006059157176426,162,1.0856105902838513,17645,0.35064935064935066,1.0558037563450509
S054,8,1.0469523404816954,192,1.0147780719045463,28342,0.3902439024390244,1.0273338840322142
S054,9,1.0730436945724842,199,1.014783248472599,30421,0.39879759519038077,1.038017374271952
S054,10,1.107667029582504,198,0.9573977109331647,30960,0.39759036144578314,1.017143343649167
S054,11,1.111797237926852,198,0.9684269440800947,31105,0.39759036144578314,1.025429591031215
S054,12,1.11114200915835,195,0.9685364578913596,31213,0.3939393939393939,1.0247144023298709
S054,13,1.1313521765044812,196,0.9655546011216521,31191,0.3951612903225806,1.0310713849422861
S054,14,1.1107671946107045,195,0.9542973565336459,31092,0.3939393939393939,1.0159369897155175
S054,15,1.0831094264352843,196,0.9906880094365584,30796,0.3951612903225806,1.0272093758312162
S054,16,1.1108771449888353,193,0.9954374906215141,29728,0.39148073022312374,1.0406298908099378
S054,17,1.079853967021985,180,0.9824197313369869,21222,0.375,1.0189575697188613
S054,18,0.9237644049537735,130,1.1611772722825542,13205,0.3023255813953488,1.0894012891366438
S054,19,1.0,4,1.25,1550,0.013157894736842105,1.2467105263157894
S055,6,1.0,0,1.25,6753,0.0,1.25
S055,7,1.1670709954077805,26,1.0856105902838513,17645,0.07975460122699386,1.0921074324102997
S055,8,1.2288303920676382,42,1.0147780719045463,28342,0.12280701754385964,1.041065198942119
S055,9,1.1723944398222546,42,1.014783248472599,30421,0.12280701754385964,1.0341390088137847
S055,10,1.2202714978497706,43,0.9573977109331647,30960,0.12536443148688048,0.9903527337827684
S055,11,1.25,44,0.9684269440800947,31105,0.12790697674418605,1.0044421023954313
S055,12,1.25,44,0.9685364578913596,31213,0.12790697674418605,1.0045376086261857
S055,13,1.25,43,0.9655546011216521,31191,0.12536443148688048,1.0012139368410953
S055,14,1.2342967360697863,43,0.9542973565336459,31092,0.12536443148688048,0.9893993195658735
S055,15,1.25,43,0.9906880094365584,30796,0.12536443148688048,1.0231965097112756
S055,16,1.25,44,0.9954374906215141,29728,0.12790697674418605,1.0279978115885298
S055,17,1.25,44,0.9824197313369869,21222,0.12790697674418605,1.01664511453807
S055,18,1.25,29,1.1611772722825542,13205,0.08814589665653495,1.1690066312606877
S055,19,1.0,0,1.25,1550,0.0,1.25
S056,6,1.0,0,1.25,6753,0.0,1.25
S056,7,1.25,95,1.0856105902838513,17645,0.24050632911392406,1.125147283759887
S056,8,1.0813424343679343,126,1.0147780719045463,28342,0.29577464788732394,1.034466122773999
