site_id,site_short_name,capacity_mw,county,install_type_raw,cell_type,tilt_deg,azimuth_deg,module_gamma_pdc,loss_factor,inverter_efficiency,mount_type,parameter_source
S050,沐恒东海产业园光伏,2.55,东海县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S051,鲲鹏德宇光伏,5.025,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S052,鹰游新立成二期光伏,6.08,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S053,鹰游新立成光伏电站,13.33,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S054,鸿天伍江光伏,11.272,连云区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S055,沐恒曲阳光伏,4.0,东海县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S056,昱中科技光伏,3.15,连云区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S057,欧翔神舟光伏电站,2.358,赣榆区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S058,远途大浦光伏电站,5.99,连云区,屋顶,多晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S059,首耀清墩光伏,2.0,海州区,屋顶,多晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S060,华电蒙然源光伏,5.84,赣榆区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S061,嘉伏黎明光伏,3.784,连云区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S062,韩华大浦光伏电站,4.45368,连云区,屋顶,多晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S063,铭信润海光伏,3.66,东海县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S064,昱瑞青口光伏,3.288,赣榆区,屋顶,多晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S065,中盛石榴光伏,1.9239,东海县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S066,科来恩润石光伏,5.45,赣榆区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S067,番禹珠江光伏,18.003,连云区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S068,富云下车光伏,1.223,灌云县,地面,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S069,沐恒东海科创园光伏,3.0,东海县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S070,旭日虎山光伏,2.1,连云区,屋顶,多晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S071,协鑫南岗光伏,20.0,灌云县,地面,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S072,交控大浦光伏,3.125,连云区,地面,单晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S073,华能裕灌光伏,15.0,灌南县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S074,华能中林二期光伏,4.0,灌云县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S075,旭樱新田光伏,2.63,海州区,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S076,太阳光东海光伏,5.0,东海县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S077,富云图河光伏,0.901,灌云县,地面,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S078,福惠泉南岗光伏（二期）,5.0,灌云县,地面,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S079,欧翔宋庄光伏电站,22.2,赣榆区,地面,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S080,二龙山光伏,15.0,赣榆区,地面,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S081,和安墩尚光伏,10.0,赣榆区,地面,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S082,华电赣榆光伏,40.0,赣榆区,鱼塘,多晶硅,20,180,-0.004,0.85,0.98,unknown,unknown_default
S083,宏耀新安光伏,17.0,灌南县,地面,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S084,云港板桥光伏,8.0,连云区,地面,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S085,协鑫曲阳三期光伏,15.0,东海县,鱼塘,多晶硅,20,180,-0.004,0.85,0.98,unknown,unknown_default
S086,浦利板桥光伏,8.0,连云区,地面,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S087,易事特城头光伏,10.0,赣榆区,大棚,多晶硅,20,180,-0.004,0.85,0.98,unknown,unknown_default
S088,福惠泉南岗光伏,5.0,灌云县,地面,多晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S089,信诚宁海光伏,28.0,海州区,地面,单晶硅,25,180,-0.004,0.85,0.98,ground_mounted,ground_default
S090,中联云台光伏,45.636,连云区,鱼塘,多晶硅,20,180,-0.004,0.85,0.98,unknown,unknown_default
S091,中电青口光伏,22.0,赣榆区,鱼塘,单晶硅,20,180,-0.004,0.85,0.98,unknown,unknown_default
S092,顺阳光伏,6.0,赣榆区,大棚,多晶硅,20,180,-0.004,0.85,0.98,unknown,unknown_default
S093,华电灌南光伏电站,35.04,灌南县,屋顶,单晶硅,15,180,-0.004,0.85,0.98,roof_mounted,rooftop_default
S094,大唐利华光伏,20.0,灌云县,大棚,单晶硅,20,180,-0.004,0.85,0.98,unknown,unknown_default
S095,银山湖光伏,9.0,赣榆区,大棚,多晶硅,20,180,-0.004,0.85,0.98,unknown,unknown_default
S096,华电曲阳光伏,8.0,东海县,鱼塘,多晶硅,20,180,-0.004,0.85,0.98,unknown,unknown_default
S097,沿海灌云光伏,356.16,灌云县,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S098,国信云台光伏,55.36,连云区,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S099,华润浦南光伏,258.0,海州区,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S100,广核浦南光伏,118.8,海州区,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S101,三峡青口光伏,339.2,赣榆县,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S102,中电建板浦光伏,30.3,海州区,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S103,美达板桥光伏,76.1,连云区,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S104,飞展百禄光伏,94.3,灌南县,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S105,中电东辛光伏,97.8,连云区,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S106,东尚赣榆光伏,359.884,赣榆县,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S107,中核田湾光伏,238.48,连云区,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S108,永贯灌云光伏,98.0,灌云县,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S109,华电墩尚光伏,274.3,赣榆县,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S110,东榆赣榆光伏,52.45,赣榆县,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S111,华润青口光伏,135.0,连云区,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S112,华能灌西光伏,300.0,灌云县,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S113,东尚墩尚光伏,279.95,赣榆区,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S114,协鑫南岗光伏电站,20.0,灌云县,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S115,鑫众墩尚光伏电站,7.0,赣榆区,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S116,林洋伊山光伏电站,22.0,灌云县,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S117,林洋朝阳光伏电站,22.0,连云区,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
S118,番禺珠江光伏,18.003,连云区,,,20,180,-0.004,0.85,0.98,unknown,unknown_default
