site_id,site_name,county,install_group,capacity_mw,full_history_rows,full_history_positive_rows,full_history_zero_ratio_pct,tv_cf_mean,tv_cf_p95,tv_zero_ratio_pct,test_rows_6_19,test_positive_rows_6_19,test_zero_ratio_6_19_pct,test_actual_sum_mwh,test_pred_sum_mwh,test_cf_mean,test_cf_p95,cf_mean_shift,cf_p95_shift,test_pred_actual_ratio,test_nrmse_pct,site_status,exclude_from_ranking,exclude_reason
S056,昱中科技光伏电站,连云区,rooftop,3.15,6033,2779,53.93668158461793,0.2541575732078217,0.5650793650793651,9.939260077305356,1708,1148,32.78688524590164,740.2,753.4630859370767,0.13757852867923126,0.45603174603174557,-0.11657904452859041,-0.1090476190476195,1.017918246334878,6.723777590827111,测试期分布漂移,是,cf_mean漂移-0.117>=0.1或cf_p95漂移-0.109>=0.2
S057,欧翔神舟光伏电站,赣榆区,rooftop,2.358,0,0,0.0,,,,0,0,0.0,0.0,0.0,,,,,,,无测试预测结果,是,final_eval 中无 test 6-19 点预测结果
S058,远途大浦光伏电站,连云区,rooftop,5.99,26304,13515,48.61998175182482,0.1979166411605144,0.6477462437395659,10.391610442945145,1708,1296,24.121779859484775,1616.6499999999999,1297.9228585375135,0.15801609239442785,0.5041736227045075,-0.03990054876608656,-0.1435726210350584,0.8028471583444243,9.769685799334377,正常评价,否,
S059,首耀清墩光伏电站,海州区,rooftop,2.0,26304,12838,51.19373479318735,0.21520350542681138,0.58,18.370489879730126,1708,1677,1.8149882903981265,694.3600000000001,457.6572394227438,0.20326697892271667,0.205,-0.011936526504094713,-0.375,0.6591065721279218,14.164194107055264,测试期分布漂移,是,cf_mean漂移-0.012>=0.1或cf_p95漂移-0.375>=0.2
S060,华电蒙然源光伏电站,赣榆区,rooftop,5.84,6144,3029,50.699869791666664,0.3388412025002191,0.8107876712328768,5.223880597014925,1708,1251,26.756440281030446,1521.71,1706.5311231151604,0.15255666324468256,0.5011130136986299,-0.18628453925553654,-0.30967465753424683,1.1214562059230473,10.200475765949918,测试期分布漂移,是,cf_mean漂移-0.186>=0.1或cf_p95漂移-0.310>=0.2
S061,嘉伏黎明光伏电站,连云区,rooftop,3.784,6033,2900,51.931045914138906,0.29800561053370117,0.766384778012685,10.381004969630037,1708,1277,25.234192037470727,1058.55,992.4740356693108,0.16378434280168938,0.5417547568710359,-0.1342212677320118,-0.2246300211416491,0.9375787970991553,8.972810512677649,测试期分布漂移,是,cf_mean漂移-0.134>=0.1或cf_p95漂移-0.225>=0.2
S062,韩华大浦光伏电站,连云区,rooftop,4.45368,26304,11398,56.66818734793188,0.180737217735936,0.5411255411255411,25.352009386916986,1708,1219,28.629976580796253,895.47,960.1735610147765,0.11771834965349497,0.3831662804691847,-0.06301886808244105,-0.1579592606563564,1.072256536807237,5.301007408340265,正常评价,否,
S063,铭信润海光伏电站,东海县,rooftop,3.66,5892,2524,57.162253903598106,0.3271170915063647,0.7978142076502732,16.705202312138727,1708,1083,36.59250585480094,1259.89,1119.9557084568278,0.20154112437772742,0.6721311475409836,-0.12557596712863728,-0.12568306010928965,0.8889313419876558,10.931899107337097,测试期分布漂移,是,cf_mean漂移-0.126>=0.1或cf_p95漂移-0.126>=0.2
S064,昱瑞青口光伏发电站,赣榆区,rooftop,3.288,26304,11817,55.075273722627735,0.2182956022379575,0.6234793187347931,21.66324435318275,1708,1135,33.548009367681495,735.4300000000001,817.0851240882838,0.13095487387248786,0.4257907542579075,-0.08734072836546963,-0.1976885644768856,1.1110304503328443,6.888301074419541,正常评价,否,
S065,中盛石榴光伏电站,东海县,rooftop,1.9239,26304,13147,50.01900851581509,0.29137998282584276,0.8108529549352878,13.94837195658551,1708,1413,17.271662763466043,687.69,689.2661372302637,0.2092774081920104,0.6913041218358543,-0.08210257463383236,-0.11954883309943343,1.0022919298379556,9.726193048979336,正常评价,否,
S066,科来恩润石光伏电站,赣榆区,rooftop,5.45,12744,5987,53.02102950408035,0.2534561488398325,0.6788990825688074,17.813482361159622,1708,1281,25.0,1567.98,920.9080041026102,0.16844423436392153,0.5339449541284403,-0.08501191447591094,-0.14495412844036704,0.5873212694693875,14.395038993971252,系统性偏差,是,"pred/actual=0.587超出[0.8,1.2]"
S067,番禹珠江光伏,连云区,rooftop,18.003,0,0,0.0,,,,0,0,0.0,0.0,0.0,,,,,,,无测试预测结果,是,final_eval 中无 test 6-19 点预测结果
S068,富云下车光伏电站,灌云县,ground,1.223,26304,11910,54.721715328467155,0.22468901160340565,0.6459525756336877,21.67791141097096,1708,1230,27.985948477751755,294.45,294.35143957855894,0.1409604362903828,0.4660670482420277,-0.08372857531302286,-0.17988552739165997,0.9996652728088264,7.407021179152749,正常评价,否,
S069,沐恒东海科创园光伏电站,东海县,rooftop,3.0,5892,0,100.0,0.0,0.0,100.0,1708,0,100.0,0.0,795.92830591241,0.0,0.0,0.0,0.0,,22.69575124393418,测试期无有效发电,是,test正功率样本0<100或总电量0.00e+00≤1e-06
S070,旭日虎山光伏发电站,连云区,rooftop,2.1,26304,12158,53.77889294403892,0.20975533950746622,0.6142857142857143,19.727192725139336,1708,1212,29.039812646370024,421.21,448.10340591765,0.11743336678933869,0.3935714285714279,-0.09232197271812753,-0.22071428571428642,1.063847975873436,7.0890269098867575,测试期分布漂移,是,cf_mean漂移-0.092>=0.1或cf_p95漂移-0.221>=0.2
S071,协鑫南岗光伏发电站,灌云县,ground,20.0,26304,10464,60.21897810218978,0.10810659284247581,0.361,34.22557934878264,1708,1495,12.47072599531616,5946.53,3113.8757221455844,0.17407874707259946,0.2806249999999996,0.06597215423012365,-0.08037500000000036,0.5236458442395119,13.404887347698402,系统性偏差,是,"pred/actual=0.524超出[0.8,1.2]"
S072,交控大浦光伏电站,连云区,ground,3.125,19848,9220,53.54695687222893,0.31761215805471127,0.9024,19.574468085106382,1708,1282,24.94145199063232,1329.44,1153.07764349399,0.24907540983606558,0.7936,-0.0685367482186457,-0.10880000000000001,0.8673408679549209,11.968107672390536,正常评价,否,
S073,华能裕灌光伏电站,灌南县,rooftop,15.0,17941,8538,52.410679449306066,0.19114556456216464,0.5953333333333333,17.855919625528028,1708,1333,21.95550351288056,4591.92,3663.999742541418,0.179231850117096,0.5617666666666665,-0.01191371444506864,-0.033566666666666745,0.7979232527007043,9.325404219536042,系统性偏差,是,"pred/actual=0.798超出[0.8,1.2]"
S074,华能中林二期光伏电站,灌云县,rooftop,4.0,8721,4246,51.31292282995069,0.3297551050606688,0.835,12.252145605208643,1708,1281,25.0,1181.51,1142.6118512426071,0.17293764637002343,0.55,-0.15681745869064537,-0.2849999999999999,0.9670775966708763,8.603997906666494,测试期分布漂移,是,cf_mean漂移-0.157>=0.1或cf_p95漂移-0.285>=0.2
