site_id,hour,calibrated_ratio,n,calibration_level
S059,10,1.0262114524573511,62.0,4
S059,11,1.0142364890256281,62.0,4
S059,12,1.0341044148064737,62.0,4
S059,13,1.0439174039745234,62.0,4
S059,14,1.0612667513886385,62.0,4
S059,15,1.0545060649382236,62.0,4
S059,16,1.0405946775792265,62.0,4
S059,17,0.9976168916241519,62.0,4
S059,18,0.9556099854557698,62.0,4
S059,19,0.9023499482028354,62.0,4
S060,6,1.15,62.0,4
S060,7,1.1127579514806745,62.0,4
S060,8,1.1032327757855138,62.0,4
S060,9,1.0676627411990638,62.0,4
S060,10,1.0698485873687102,62.0,4
S060,11,1.0619921994331765,62.0,4
S060,12,1.0713403269665485,62.0,4
S060,13,1.0531779950954954,62.0,4
S060,14,1.0560223862775697,62.0,4
S060,15,1.0871600573867528,62.0,4
S060,16,1.15,62.0,4
S060,17,1.138031316155239,62.0,4
S060,18,1.15,62.0,4
S060,19,1.15,62.0,4
S061,6,1.15,62.0,4
S061,7,1.15,62.0,4
S061,8,1.0993990050266196,62.0,4
S061,9,1.0900044912547124,62.0,4
S061,10,1.074518902699075,62.0,4
S061,11,1.0305662387575925,62.0,4
S061,12,1.0429427249441803,62.0,4
S061,13,1.0161605337537187,62.0,4
S061,14,1.0321809918146512,62.0,4
S061,15,1.0739683581632595,62.0,4
S061,16,1.125150908155586,62.0,4
S061,17,1.15,62.0,4
S061,18,1.15,62.0,4
S061,19,1.15,62.0,4
S062,6,1.0210041628666846,62.0,1
S062,7,0.9829211730062657,62.0,1
S062,8,0.996214859638668,62.0,1
S062,9,1.0027909144745202,62.0,1
S062,10,1.0137067674946696,62.0,1
S062,11,1.001558779203058,62.0,1
S062,12,0.9819291008548436,62.0,1
S062,13,0.9947549673708814,62.0,1
S062,14,1.0004447388129136,62.0,1
S062,15,1.0027377114118645,62.0,1
S062,16,1.0073481099469066,62.0,1
S062,17,0.9982291028199994,62.0,1
S062,18,0.9398503310686068,62.0,1
S062,19,0.85,62.0,1
S063,6,1.028442216123005,62.0,4
S063,7,1.0521542349492496,62.0,4
S063,8,1.0846484368631661,62.0,4
S063,9,1.0575344099228243,62.0,4
S063,10,1.0604049147845367,62.0,4
S063,11,1.0669663046629836,62.0,4
