site_id,site_status,exclude_reason,tv_cf_mean,test_cf_mean,cf_mean_shift,tv_cf_p95,test_cf_p95,cf_p95_shift,test_nrmse_pct,test_pred_actual_ratio
S041,测试期分布漂移,cf_mean漂移0.113>=0.1或cf_p95漂移0.118>=0.2,0.3500642974047229,0.2372205663189269,-0.1128437310857959,0.8999999999999999,0.7818181818181817,-0.1181818181818181,11.699499784702816,1.128434084951231
S042,测试期分布漂移,cf_mean漂移0.104>=0.1或cf_p95漂移0.207>=0.2,0.2811798025293438,0.1772602298653961,-0.1039195726639476,0.776047261009667,0.569280343716434,-0.206766917293233,8.407070228987719,1.0438738782058856
S045,测试期分布漂移,cf_mean漂移0.212>=0.1或cf_p95漂移0.624>=0.2,0.2395463023539968,0.0276933088563153,-0.2118529934976814,0.8919382504288165,0.2675814751286449,-0.6243567753001715,22.75583962017988,6.4153256484777765
S046,测试期分布漂移,cf_mean漂移0.104>=0.1或cf_p95漂移0.188>=0.2,0.2742419312857886,0.1704876704780272,-0.1037542608077614,0.7482352941176471,0.5607058823529405,-0.1875294117647066,11.370636925327906,1.0848040626241813
S050,测试期分布漂移,cf_mean漂移0.158>=0.1或cf_p95漂移0.205>=0.2,0.2516161994618345,0.093247462919594,-0.1583687365422404,0.6000000000000001,0.3947058823529407,-0.2052941176470594,15.593666246245702,1.8481963307513036
S051,测试期分布漂移,cf_mean漂移0.124>=0.1或cf_p95漂移0.186>=0.2,0.2407408684062366,0.1166439465436284,-0.1240969218626082,0.5671641791044776,0.3813930348258703,-0.1857711442786072,11.687106246853224,1.4239922635715028
S053,测试期分布漂移,cf_mean漂移0.148>=0.1或cf_p95漂移0.096>=0.2,0.2565793252361198,0.4044108216749738,0.1478314964388539,0.5116279069767442,0.4156039009752438,-0.0960240060015004,23.723809802289757,0.5828036917412847
S055,测试期分布漂移,cf_mean漂移0.005>=0.1或cf_p95漂移0.207>=0.2,0.080787492762015,0.0855986533957845,0.0048111606337695,0.485,0.2775,-0.2074999999999999,17.72528491990194,1.9763926087891583
S056,测试期分布漂移,cf_mean漂移0.117>=0.1或cf_p95漂移0.109>=0.2,0.2541575732078217,0.1375785286792312,-0.1165790445285904,0.5650793650793651,0.4560317460317455,-0.1090476190476195,7.684774270573945,1.2597304188874736
S059,测试期分布漂移,cf_mean漂移0.012>=0.1或cf_p95漂移0.375>=0.2,0.2152035054268113,0.2032669789227166,-0.0119365265040947,0.58,0.205,-0.375,14.171381958974669,0.6799346691428811
S060,测试期分布漂移,cf_mean漂移0.186>=0.1或cf_p95漂移0.310>=0.2,0.3388412025002191,0.1525566632446825,-0.1862845392555365,0.8107876712328768,0.5011130136986299,-0.3096746575342468,11.66405118104604,1.336323760230746
S061,测试期分布漂移,cf_mean漂移0.134>=0.1或cf_p95漂移0.225>=0.2,0.2980056105337011,0.1637843428016893,-0.1342212677320118,0.766384778012685,0.5417547568710359,-0.2246300211416491,9.343159943224148,1.154554002872304
S063,测试期分布漂移,cf_mean漂移0.126>=0.1或cf_p95漂移0.126>=0.2,0.3271170915063647,0.2015411243777274,-0.1255759671286372,0.7978142076502732,0.6721311475409836,-0.1256830601092896,10.654819854972123,0.9190687391178936
S070,测试期分布漂移,cf_mean漂移0.092>=0.1或cf_p95漂移0.221>=0.2,0.2097553395074662,0.1174333667893386,-0.0923219727181275,0.6142857142857143,0.3935714285714279,-0.2207142857142864,6.956055739887371,1.1191037888344673
S074,测试期分布漂移,cf_mean漂移0.157>=0.1或cf_p95漂移0.285>=0.2,0.3297551050606688,0.1729376463700234,-0.1568174586906453,0.835,0.55,-0.2849999999999999,8.712033277684242,1.1087842457056134
S075,测试期分布漂移,cf_mean漂移0.160>=0.1或cf_p95漂移0.235>=0.2,0.3135273719223074,0.1535182233461857,-0.1600091485761217,0.7452471482889734,0.5106463878326987,-0.2346007604562747,9.550239211682385,1.228266189812339
