site_id,hour,pred_actual_ratio_future,pred_actual_ratio_test,pred_actual_ratio_train,pred_actual_ratio_valid,rows_future,rows_test,rows_train,rows_valid,site_nrmse_pct_future,site_nrmse_pct_test,site_nrmse_pct_train,site_nrmse_pct_valid,bias_class,train_valid_ratio_gap,is_stable_extreme_candidate
S046,11,1.4833671745042274,1.0740062362912597,1.0477239771794706,0.8835496730040975,87.0,122.0,193.0,56.0,26.820634882676654,17.184389340645144,14.467812731667284,21.144368211213493,unstable_or_mild,0.16417430417537315,False
S061,12,1.4872698678684877,1.181787003192002,0.9278750320421155,0.9408326793112791,90.0,122.0,60.0,61.0,20.309350044241015,14.106612444529077,19.495077344931417,21.106657360546954,unstable_or_mild,0.012957647269163597,False
S035,11,0.6018700754419485,0.9761259375885061,0.8855023892827282,1.1340998675777494,81.0,121.0,587.0,61.0,23.635890691118934,11.79753686666105,15.498946028714483,21.103374716228423,unstable_or_mild,0.2485974782950212,False
S035,12,0.5794376505383256,0.9721475155831307,0.9132042215851389,1.1257359186601918,82.0,121.0,590.0,61.0,26.31969175037347,12.123120312799816,15.554251783509912,21.06570371015615,unstable_or_mild,0.21253169707505293,False
S021,11,1.0326856394269293,0.9519695851224743,1.0096261285167678,0.849450344555717,83.0,119.0,68.0,61.0,17.029581124708454,17.10944291952789,14.40838797029551,21.017244383593763,unstable_or_mild,0.1601757839610508,False
S008,10,1.8668583718907397,1.0670925488842105,1.168189948129942,0.8650099510537037,90.0,122.0,90.0,62.0,32.67397135463347,13.939324968998598,17.321150883907706,20.996110385500373,unstable_or_mild,0.30317999707623833,False
S061,13,1.4006232858097651,1.240899894668611,0.843393984492477,0.9878215937196905,90.0,122.0,60.0,61.0,17.807204986313398,15.135048282186373,19.65962110692284,20.940594703484532,unstable_or_mild,0.14442760922721343,False
S116,10,1.1029286687618172,1.137178341022574,0.9707923052327093,0.9366598049760427,90.0,122.0,907.0,62.0,23.975879038734107,23.835126667249106,22.80635623362496,20.761799466154677,unstable_or_mild,0.03413250025666659,False
S021,12,0.9968940354063095,0.9513675215939507,1.019103708927049,0.8393692199931044,83.0,119.0,68.0,62.0,20.017143854744987,15.275901960398643,15.225066160105309,20.76105921553893,unstable_or_mild,0.1797344889339445,False
S018,13,0.6726269212458778,1.110670026568633,0.9926572591752418,1.0642119030648267,84.0,121.0,482.0,61.0,19.48531001231378,12.548886498020506,13.325559977154935,20.755684893099353,unstable_or_mild,0.07155464388958488,False
