site_id,month,pr_month_new,pr_month_final,pr_count,pr_month_old,pr_diff
S024,7,0.7848638792011003,0.7848638792011003,139,0.78,0.0048638792011003185
S024,8,0.7806066775991475,0.7806066775991475,349,0.78,0.0006066775991474538
S024,9,0.7610826487070709,0.7610826487070709,275,0.78,0.018917351292929152
S024,10,0.7077628182970603,0.7077628182970603,245,0.78,0.07223718170293969
S024,11,0.5182850254684702,0.5182850254684702,154,0.78,0.2617149745315298
S024,12,0.3395619684173452,0.3395619684173452,142,0.78,0.4404380315826548
S025,1,0.5696896582865489,0.5696896582865489,104,0.78,0.2103103417134511
S025,2,0.1,0.1,131,0.78,0.68
S025,3,0.35303594637176183,0.35303594637176183,154,0.78,0.4269640536282382
S025,4,0.7043721605146894,0.7043721605146894,219,0.78,0.0756278394853106
S025,5,0.7913147338633322,0.7913147338633322,318,0.78,0.01131473386333215
S025,6,0.8012213701809426,0.8012213701809426,343,0.78,0.02122137018094261
S025,7,0.95,0.95,124,0.78,0.16999999999999993
S025,8,0.95,0.95,167,0.78,0.16999999999999993
S025,9,0.8438808496330192,0.8438808496330192,128,0.78,0.06388084963301921
S025,10,0.8320018841287998,0.8320018841287998,109,0.78,0.0520018841287998
S025,11,0.7766182569034905,0.7766182569034905,76,0.78,0.003381743096509515
S025,12,0.6580403822242215,0.6580403822242215,72,0.78,0.12195961777577857
S026,1,0.5298107580705641,0.5298107580705641,282,0.78,0.2501892419294359
S026,2,0.5563410223615193,0.5563410223615193,328,0.78,0.22365897763848075
S026,3,0.5976783547327047,0.5976783547327047,498,0.78,0.18232164526729533
S026,4,0.7042044766498279,0.7042044766498279,547,0.78,0.07579552335017214
S026,5,0.7234448757987733,0.7234448757987733,575,0.78,0.05655512420122677
S026,6,0.7224699672360255,0.7224699672360255,544,0.78,0.057530032763974503
S026,7,0.8104226980724935,0.8104226980724935,257,0.78,0.030422698072493426
S026,8,0.8180450883562421,0.8180450883562421,360,0.78,0.038045088356242096
S026,9,0.7663167380786988,0.7663167380786988,267,0.78,0.013683261921301204
S026,10,0.7013835472748763,0.7013835472748763,251,0.78,0.07861645272512374
S026,11,0.6941062720314224,0.6941062720314224,166,0.78,0.08589372796857764
S026,12,0.5599451293981748,0.5599451293981748,154,0.78,0.22005487060182527
S028,1,0.6974322156524349,0.6974322156524349,106,0.78,0.08256778434756518
S028,2,0.7937042763085043,0.7937042763085043,128,0.78,0.013704276308504237
S028,3,0.8203569451981715,0.8203569451981715,159,0.78,0.04035694519817146
S028,4,0.8701174628936703,0.8701174628936703,218,0.78,0.09011746289367029
S028,5,0.8685844128884885,0.8685844128884885,196,0.78,0.0885844128884885
S028,6,0.8408703732008235,0.8408703732008235,154,0.78,0.06087037320082345
S028,10,0.1,0.1,41,0.78,0.68
S028,11,0.9377046729763155,0.9377046729763155,77,0.78,0.15770467297631552
S028,12,0.8065787304425092,0.8065787304425092,70,0.78,0.026578730442509135
S030,1,0.8726589358657084,0.8726589358657084,288,0.78,0.09265893586570839
S030,2,0.8455793712437991,0.8455793712437991,319,0.78,0.06557937124379909
S030,3,0.808334658274658,0.808334658274658,494,0.78,0.028334658274657976
S030,4,0.7977739657398016,0.7977739657398016,560,0.78,0.01777396573980161
S030,5,0.7593043902231226,0.7593043902231226,579,0.78,0.020695609776877455
S030,6,0.7803058126150775,0.7803058126150775,514,0.78,0.00030581261507744983
S030,7,0.7953657917022215,0.7953657917022215,246,0.78,0.01536579170222152
S030,8,0.870721206310606,0.870721206310606,358,0.78,0.09072120631060598
S030,9,0.8700031878439489,0.8700031878439489,251,0.78,0.0900031878439489
S030,10,0.9199963171079873,0.9199963171079873,242,0.78,0.13999631710798732
